순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,26,Y (Y),6,N,Y,0.3253,1.0000,2,O, 
1,26,Y (Y),6,N,Y,0.3253,1.0000,2,O, 
2,23,Y (Y),6,N,Y,0.6190,0.8333,3,O, 
3,23,Y (Y),5,Y,Y,0.8888,1.0000,4,O, 
4,21,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
5,20,Y (Y),6,N,Y,1.0000,1.0000,4,O, 
6,20,Y (Y),6,N,Y,0.5793,1.0000,3,O, 
7,19,Y (Y),6,N,Y,0.4325,1.0000,2,O, 
8,18,Y (Y),6,Y,Y,0.9444,0.8333,4,O, 
9,18,Y (Y),5,N,Y,0.5238,0.9166,3,O, 
10,17,Y (Y),6,N,Y,0.5396,0.8611,3,O, 
11,15,Y (Y),6,N,Y,0.3849,0.8611,2,O, 
12,15,Y (Y),5,N,Y,0.7539,1.0000,4,O, 
13,12,Y (Y),6,N,Y,0.8730,0.8333,4,O, 
14,12,Y (Y),6,N,Y,0.5396,0.5000,3,O, 
15,12,Y (Y),6,N,Y,0.3849,1.0000,2,O, 
16,11,Y (Y),6,N,Y,0.3809,0.8333,2,O, 
17,11,Y (Y),5,N,Y,0.3373,0.6944,2,O, 
18,8,Y (Y),6,N,Y,0.6031,1.0000,3,O, 
19,8,Y (Y),6,N,Y,0.5555,0.8611,3,O, 
20,5,Y (Y),6,Y,Y,0.9126,1.0000,4,O, 
21,5,Y (Y),6,N,Y,0.6904,0.6666,3,X, 
22,5,Y (Y),6,N,Y,0.4801,0.9166,3,X, 
23,5,Y (Y),6,N,Y,0.2936,0.9444,2,X, 
24,4,Y (Y),6,N,Y,0.3492,1.0000,2,X, 
25,3,Y (Y),6,N,Y,0.5000,0.1666,3,X, 
26,2,Y (Y),6,N,Y,0.8412,0.8333,4,X, 
