순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,25,Y (Y),6,N,Y,0.2976,1.0000,2,O, 
1,25,Y (Y),6,N,Y,0.2976,1.0000,2,O, 
2,15,Y (Y),6,N,Y,0.2579,0.8333,2,O, 
3,13,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
4,12,Y (Y),6,N,Y,0.2777,0.9444,2,O, 
5,9,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
6,8,Y (Y),6,N,Y,0.3730,0.8333,2,O, 
7,5,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
8,4,Y (Y),6,N,Y,0.7222,1.0000,3,O, 
9,3,Y (Y),6,N,Y,0.6507,1.0000,3,O, 
10,3,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
11,3,Y (Y),6,N,Y,0.2857,1.0000,2,O, 
12,3,Y (Y),6,N,Y,0.1309,0.3888,2,O, 
13,2,Y (Y),6,N,Y,0.6507,1.0000,3,O, 
14,2,Y (Y),6,N,Y,0.6428,0.8611,3,O, 
15,2,Y (Y),6,N,Y,0.3452,0.9444,2,O, 
16,2,Y (Y),6,N,Y,0.2500,0.8333,2,O, 
17,2,Y (Y),5,N,Y,0.3809,0.8333,2,O, 
18,1,Y (Y),6,N,Y,0.5873,1.0000,3,O, 
19,1,Y (Y),6,N,Y,0.4246,0.8611,2,X, 
20,1,Y (Y),5,N,Y,0.4047,1.0000,2,X, 
