순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,19,Y (Y),4,N,Y,0.7539,0.9473,3,O, 
1,19,Y (Y),4,N,Y,0.7539,0.9473,3,O, 
2,15,Y (Y),6,N,Y,0.9682,1.0000,4,O, 
3,13,Y (Y),5,N,Y,0.8333,0.7894,4,O, 
4,7,Y (Y),6,N,Y,0.4722,1.0000,2,O, 
5,6,Y (Y),6,N,Y,0.7539,0.9473,3,O, 
6,6,Y (Y),6,N,Y,0.6190,0.6315,3,O, 
7,6,Y (Y),6,N,Y,0.3809,0.7105,2,O, 
8,5,Y (Y),6,N,Y,0.7103,0.7894,3,O, 
9,5,Y (Y),6,N,Y,0.6865,0.9736,3,O, 
10,5,Y (Y),6,N,Y,0.4087,0.7631,2,O, 
11,5,Y (Y),6,N,Y,0.3730,0.7894,2,O, 
12,3,Y (Y),6,N,Y,0.8809,0.9736,4,O, 
13,3,Y (Y),6,N,Y,0.4325,1.0000,2,O, 
14,3,Y (Y),6,N,Y,0.4325,0.8684,2,O, 
15,2,Y (Y),6,N,Y,0.6428,0.7894,3,O, 
16,2,Y (Y),6,N,Y,0.6349,0.7894,3,O, 
17,2,Y (Y),6,N,Y,0.5000,0.8157,3,O, 
18,2,Y (Y),6,N,Y,0.3571,0.6842,2,O, 
19,1,Y (Y),6,N,Y,0.7301,0.9473,3,O, 
20,1,Y (Y),6,N,Y,0.6825,0.8947,3,O, 
