순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,18,Y (Y),4,N,Y,0.3571,0.8611,2,O, 
1,18,Y (Y),4,N,Y,0.3571,0.8611,2,O, 
2,13,Y (Y),5,N,Y,0.4126,1.0000,2,O, 
3,12,Y (Y),6,N,Y,0.1984,0.7222,2,O, 
4,12,Y (Y),5,N,Y,0.4682,0.8888,3,O, 
5,7,Y (Y),5,Y,Y,0.8888,0.8333,4,O, 
6,6,Y (Y),6,N,Y,0.6190,0.8333,3,O, 
7,6,Y (Y),5,N,Y,0.2936,1.0000,2,O, 
8,5,Y (Y),6,N,Y,0.5714,1.0000,3,O, 
9,4,Y (Y),6,N,Y,0.4563,0.8611,2,O, 
10,4,Y (Y),6,N,Y,0.4166,1.0000,2,O, 
11,4,Y (Y),6,N,Y,0.2857,0.8888,2,O, 
12,4,Y (Y),6,N,Y,0.2539,0.9444,2,O, 
13,2,Y (Y),6,N,Y,0.4484,0.8611,2,O, 
14,2,Y (Y),6,N,Y,0.4404,0.6944,2,O, 
15,2,Y (Y),6,N,Y,0.3690,0.9166,2,O, 
16,1,Y (Y),6,N,Y,0.7539,1.0000,4,O, 
17,1,Y (Y),6,N,Y,0.6269,0.9166,3,O, 
18,1,Y (Y),6,N,Y,0.5277,0.8333,3,O, 
19,1,Y (Y),6,N,Y,0.4047,0.9444,2,O, 
20,1,Y (Y),6,N,Y,0.3849,0.9166,2,O, 
21,1,Y (Y),5,N,Y,0.5714,1.0000,3,X, 
