순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),6,N,Y,0.7757,1.0000,3,O, 
1,36,Y (Y),6,N,Y,0.7757,1.0000,3,O, 
2,36,Y (Y),6,N,Y,0.3968,0.8611,2,O, 
3,33,Y (Y),4,N,Y,0.5000,0.6944,3,O, 
4,31,Y (Y),6,Y,Y,0.9841,1.0000,4,O, 
5,29,Y (Y),6,N,Y,0.4325,0.8333,2,O, 
6,26,Y (Y),6,N,Y,0.7043,0.8611,3,O, 
7,25,Y (Y),6,N,Y,0.6666,0.8333,3,O, 
8,24,Y (Y),3,Y,Y,0.9523,0.5000,4,O, 
9,22,Y (Y),6,N,Y,0.4325,1.0000,2,O, 
10,22,Y (Y),6,N,Y,0.3690,0.6944,2,O, 
11,22,Y (Y),5,N,Y,0.4642,1.0000,2,O, 
12,22,Y (Y),5,N,Y,0.4166,0.8611,2,O, 
13,21,Y (Y),6,N,Y,0.8293,1.0000,4,O, 
14,21,Y (Y),6,N,Y,0.4246,0.9166,2,O, 
15,21,Y (Y),6,N,Y,0.3571,0.9444,2,O, 
16,20,Y (Y),6,Y,Y,1.0000,1.0000,4,O, 
17,20,Y (Y),6,N,Y,0.7162,0.8333,3,O, 
18,19,Y (Y),6,N,Y,0.8015,0.8333,4,O, 
19,19,Y (Y),6,N,Y,0.7857,0.8333,4,O, 
20,18,Y (Y),6,N,Y,0.6904,0.8333,3,O, 
21,18,Y (Y),5,N,Y,0.7380,0.8333,3,X, 
22,18,Y (Y),5,N,Y,0.6746,1.0000,3,X, 
23,17,Y (Y),6,N,Y,0.4325,1.0000,2,X, 
24,17,Y (Y),5,N,Y,0.3095,1.0000,2,X, 
25,16,Y (Y),6,N,Y,0.4642,1.0000,2,X, 
26,16,Y (Y),5,N,Y,0.5238,0.8611,3,X, 
27,15,Y (Y),6,N,Y,0.6805,1.0000,3,X, 
28,15,Y (Y),6,N,Y,0.6230,0.8611,3,X, 
29,14,Y (Y),6,N,Y,0.8174,1.0000,3,X, 
30,14,Y (Y),6,N,Y,0.4801,0.5277,3,X, 
31,13,Y (Y),6,N,Y,0.6746,0.8611,4,X, 
32,13,Y (Y),6,N,Y,0.5158,0.8611,3,X, 
33,13,Y (Y),6,N,Y,0.4523,0.8611,3,X, 
34,11,Y (Y),6,N,Y,0.4166,0.8611,2,X, 
35,10,Y (Y),6,N,Y,0.6428,1.0000,3,X, 
36,10,Y (Y),6,N,Y,0.6269,1.0000,3,X, 
37,10,Y (Y),6,N,Y,0.5238,0.1666,3,X, 
38,9,Y (Y),5,N,Y,0.2936,1.0000,2,X, 
39,8,Y (Y),6,Y,Y,0.8928,0.8333,4,X, 
40,7,Y (Y),6,N,Y,0.3809,1.0000,2,X, 
41,5,Y (Y),6,N,Y,0.3928,0.8611,2,X, 
42,1,Y (Y),6,Y,Y,1.0000,0.6666,4,X, 
43,1,Y (Y),6,Y,Y,0.9761,1.0000,4,X, 
44,1,Y (Y),6,Y,Y,0.9761,0.6666,4,X, 
45,1,Y (Y),6,N,Y,0.5992,1.0000,3,X, 
46,1,Y (Y),6,N,N,0.5634,0.8611,3,X, 
