순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,24,Y (Y),5,N,Y,0.3650,0.8611,2,O, 
1,24,Y (Y),5,N,Y,0.3650,0.8611,2,O, 
2,15,Y (Y),6,N,Y,0.3888,0.6111,2,O, 
3,13,Y (Y),4,N,Y,0.2539,0.7631,2,O, 
4,11,Y (Y),6,Y,Y,0.9285,0.8333,4,O, 
5,11,Y (Y),6,N,Y,0.4206,1.0000,2,O, 
6,9,Y (Y),4,N,Y,0.6031,0.0277,4,O, 
7,7,Y (Y),6,N,Y,0.5277,0.8333,3,O, 
8,7,Y (Y),5,N,Y,0.6349,0.8611,3,O, 
9,5,Y (Y),6,N,Y,0.4563,0.8611,2,O, 
10,4,Y (Y),6,N,Y,0.7063,0.8333,3,O, 
11,4,Y (Y),6,N,Y,0.2023,0.5000,2,O, 
12,3,Y (Y),6,N,Y,0.4246,1.0000,2,O, 
13,3,Y (Y),6,N,Y,0.4246,1.0000,2,O, 
14,3,Y (Y),5,N,Y,0.7619,0.6666,4,O, 
15,1,Y (Y),6,N,Y,0.6666,0.8333,3,O, 
16,1,Y (Y),6,N,Y,0.6428,0.8611,3,O, 
17,1,Y (Y),6,N,Y,0.4087,0.9166,2,O, 
