순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,10,Y (Y),6,N,Y,0.9682,0.9473,4,O, 
1,10,Y (Y),6,N,Y,0.9682,0.9473,4,O, 
2,10,Y (Y),3,Y,Y,0.9960,0.9473,4,O, 
3,7,Y (Y),6,N,Y,0.5912,0.7894,3,O, 
4,3,Y (Y),5,N,Y,0.8174,0.7894,4,O, 
5,1,Y (Y),6,Y,Y,1.0000,1.0000,4,O, 
6,1,Y (Y),6,Y,Y,0.8968,0.7894,4,O, 
7,1,Y (Y),6,N,Y,0.9960,0.7894,4,O, 
8,1,Y (Y),6,N,Y,0.8472,0.9473,4,O, 
9,1,Y (Y),6,N,Y,0.8095,0.7894,4,O, 
10,1,Y (Y),6,N,Y,0.7777,0.9473,3,O, 
11,1,Y (Y),6,N,Y,0.7142,0.9473,3,O, 
12,1,Y (Y),6,N,Y,0.6904,0.9473,3,O, 
13,1,Y (Y),5,Y,N,1.0000,0.6315,4,O, 
