순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),3,N,Y,0.9603,1.0000,4,O, 
1,36,Y (Y),3,N,Y,0.9603,1.0000,4,O, 
2,24,Y (Y),5,N,Y,0.6428,1.0000,3,O, 
3,18,Y (Y),5,N,Y,0.6825,1.0000,4,O, 
4,12,Y (Y),6,Y,Y,0.9523,1.0000,4,O, 
5,12,Y (Y),6,N,Y,0.7380,0.8333,4,O, 
6,12,Y (Y),6,N,Y,0.6587,0.8333,3,O, 
7,10,Y (Y),6,N,Y,0.5674,1.0000,3,O, 
8,9,Y (Y),6,N,Y,0.5912,1.0000,3,O, 
9,9,Y (Y),6,N,Y,0.3968,1.0000,2,O, 
10,8,Y (Y),6,N,Y,0.7063,1.0000,3,O, 
11,8,Y (Y),5,Y,Y,0.8492,0.8333,4,O, 
12,6,Y (Y),6,N,Y,0.5634,1.0000,3,O, 
13,6,Y (Y),6,N,Y,0.5039,0.8611,3,O, 
14,5,Y (Y),6,N,Y,0.8333,1.0000,4,O, 
15,5,Y (Y),6,N,Y,0.7301,1.0000,3,O, 
16,5,Y (Y),6,N,Y,0.6587,1.0000,3,O, 
17,5,Y (Y),6,N,Y,0.2619,1.0000,2,O, 
18,4,Y (Y),6,N,Y,0.5952,1.0000,3,O, 
19,4,Y (Y),6,N,Y,0.4603,1.0000,2,O, 
20,4,Y (Y),5,N,Y,0.6825,0.8611,3,O, 
21,3,Y (Y),6,N,Y,0.7380,0.8611,4,O, 
22,3,Y (Y),6,N,Y,0.6111,1.0000,3,O, 
23,3,Y (Y),6,N,Y,0.5714,1.0000,3,O, 
24,3,Y (Y),6,N,Y,0.2857,1.0000,2,O, 
25,2,Y (Y),6,N,Y,0.5992,1.0000,3,O, 
26,2,Y (Y),6,N,Y,0.5634,0.8611,3,O, 
27,2,Y (Y),6,N,Y,0.4801,0.8684,2,O, 
28,2,Y (Y),6,N,Y,0.4563,1.0000,2,O, 
29,2,Y (Y),6,N,Y,0.3333,1.0000,2,O, 
30,2,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
31,2,Y (Y),6,N,Y,0.2023,0.8611,2,O, 
32,2,Y (Y),5,N,Y,0.3492,0.9166,2,O, 
33,1,Y (Y),6,Y,Y,1.0000,1.0000,4,O, 
34,1,Y (Y),6,Y,Y,0.8095,0.8333,4,O, 
35,1,Y (Y),6,N,Y,0.8968,0.8333,4,O, 
36,1,Y (Y),6,N,Y,0.8492,0.8333,4,O, 
37,1,Y (Y),6,N,Y,0.7619,1.0000,3,O, 
38,1,Y (Y),6,N,Y,0.7380,1.0000,4,O, 
39,1,Y (Y),6,N,Y,0.7222,1.0000,3,O, 
40,1,Y (Y),6,N,Y,0.6746,1.0000,3,O, 
41,1,Y (Y),6,N,Y,0.6269,0.6944,3,O, 
42,1,Y (Y),6,N,Y,0.4841,1.0000,3,O, 
43,1,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
44,1,Y (Y),6,N,Y,0.2896,1.0000,2,O, 
45,1,Y (Y),6,N,Y,0.2460,1.0000,2,O, 
46,1,Y (Y),5,N,Y,0.9285,1.0000,4,O, 
47,1,Y (Y),5,N,Y,0.4841,1.0000,3,O, 
