순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,25,Y (Y),6,N,Y,0.6904,1.0000,3,O, 
1,25,Y (Y),6,N,Y,0.6904,1.0000,3,O, 
2,20,Y (Y),4,N,Y,0.5555,1.0000,3,O, 
3,18,Y (Y),6,N,Y,0.5277,0.8611,2,O, 
4,18,Y (Y),6,N,Y,0.2579,0.8611,2,O, 
5,16,Y (Y),6,N,Y,0.8222,0.9473,4,O, 
6,16,Y (Y),5,Y,Y,0.8928,0.8333,4,O, 
7,15,Y (Y),6,N,Y,0.8174,1.0000,4,O, 
8,15,Y (Y),6,N,Y,0.4325,1.0000,2,O, 
9,15,Y (Y),6,N,Y,0.3333,1.0000,2,O, 
10,15,Y (Y),5,N,Y,0.5317,1.0000,3,O, 
11,13,Y (Y),6,N,Y,0.6349,1.0000,4,O, 
12,11,Y (Y),6,N,Y,0.7301,1.0000,4,O, 
13,11,Y (Y),6,N,Y,0.6408,1.0000,3,O, 
14,10,Y (Y),6,N,Y,0.7500,1.0000,4,O, 
15,10,Y (Y),6,N,Y,0.5555,1.0000,3,O, 
16,10,Y (Y),6,N,Y,0.3571,1.0000,2,O, 
17,10,Y (Y),5,N,Y,0.2619,0.7222,2,O, 
18,9,Y (Y),6,N,Y,0.5000,0.8750,3,O, 
19,9,Y (Y),6,N,Y,0.2857,0.8888,2,O, 
20,8,Y (Y),6,N,Y,0.7063,1.0000,3,O, 
21,8,Y (Y),6,N,Y,0.3412,1.0000,2,X, 
22,7,Y (Y),6,N,Y,0.6111,1.0000,3,X, 
23,7,Y (Y),6,N,Y,0.2857,1.0000,2,X, 
24,7,Y (Y),6,N,Y,0.2777,0.9444,2,X, 
25,6,Y (Y),6,N,Y,0.3214,1.0000,2,X, 
26,5,Y (Y),3,N,Y,0.8809,1.0000,4,X, 
27,2,Y (Y),6,N,Y,0.7539,1.0000,4,X, 
