순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,20,Y (Y),6,N,Y,0.6190,0.6315,3,O, 
1,20,Y (Y),6,N,Y,0.6190,0.6315,3,O, 
2,19,Y (Y),4,N,Y,0.7539,0.9473,3,O, 
3,16,Y (Y),6,N,Y,0.6349,0.7894,3,O, 
4,12,Y (Y),3,N,Y,0.8174,1.0000,3,O, 
5,9,Y (Y),6,N,Y,0.6904,0.9473,3,O, 
6,7,Y (Y),6,N,Y,0.6468,0.8157,3,O, 
7,5,Y (Y),6,Y,Y,0.9603,0.9473,4,O, 
8,3,Y (Y),6,N,Y,0.7857,0.9473,3,O, 
9,3,Y (Y),6,N,Y,0.6746,0.9736,3,O, 
10,2,Y (Y),6,N,Y,0.7380,0.9736,3,O, 
11,2,Y (Y),6,N,Y,0.7142,0.6315,3,O, 
12,2,Y (Y),6,N,Y,0.4404,0.8157,2,O, 
13,1,Y (Y),6,Y,Y,1.0000,0.6315,4,O, 
14,1,Y (Y),6,N,Y,0.8412,0.9473,4,O, 
15,1,Y (Y),6,N,Y,0.6825,0.7894,3,O, 
16,1,Y (Y),6,N,Y,0.6587,1.0000,3,O, 
17,1,Y (Y),6,N,Y,0.5873,0.9210,4,O, 
18,1,Y (Y),5,N,Y,0.8492,0.8421,4,O, 
