순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,15,Y (Y),5,N,Y,0.7142,0.8333,3,O, 
1,15,Y (Y),5,N,Y,0.7142,0.8333,3,O, 
2,10,Y (Y),6,N,Y,0.4484,0.8611,2,O, 
3,5,Y (Y),5,N,Y,0.8134,0.8888,4,O, 
4,4,Y (Y),6,N,Y,0.2698,0.9444,2,O, 
5,3,Y (Y),6,N,Y,0.4920,1.0000,2,O, 
6,2,Y (Y),6,N,Y,0.5515,1.0000,3,O, 
7,2,Y (Y),6,N,Y,0.5396,0.7500,3,O, 
8,1,Y (Y),6,N,Y,0.5992,1.0000,3,O, 
9,1,Y (Y),6,N,Y,0.5793,0.5833,3,O, 
10,1,Y (Y),6,N,Y,0.5674,1.0000,3,O, 
11,1,Y (Y),6,N,Y,0.3650,1.0000,2,O, 
12,1,Y (Y),6,N,Y,0.3650,0.9444,2,O, 
13,1,Y (Y),6,N,Y,0.2619,1.0000,2,O, 
14,1,Y (Y),5,N,Y,0.4087,0.8611,2,O, 
15,1,Y (Y),4,N,Y,0.6944,0.8333,3,O, 
