순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,35,Y (Y),2,Y,Y,1.0000,1.0000,4,O, 
1,35,Y (Y),2,Y,Y,1.0000,1.0000,4,O, 
2,27,Y (Y),6,N,Y,0.7261,0.8333,3,O, 
3,27,Y (Y),4,N,Y,0.5476,0.8611,4,O, 
4,24,Y (Y),6,N,Y,0.9761,1.0000,4,O, 
5,21,Y (Y),6,N,Y,0.4682,0.8611,3,O, 
6,20,Y (Y),5,N,Y,0.6984,1.0000,4,O, 
7,18,Y (Y),5,Y,Y,0.9444,1.0000,4,O, 
8,17,Y (Y),6,N,Y,0.9761,1.0000,4,O, 
9,16,Y (Y),6,N,Y,0.7142,1.0000,3,O, 
10,16,Y (Y),6,N,Y,0.7142,0.8611,3,O, 
11,15,Y (Y),6,N,Y,0.9682,1.0000,4,O, 
12,15,Y (Y),6,N,Y,0.7103,0.8611,4,O, 
13,15,Y (Y),5,N,Y,0.7301,1.0000,4,O, 
14,15,Y (Y),4,N,Y,0.7738,1.0000,4,O, 
15,14,Y (Y),6,N,Y,0.6428,0.7777,3,O, 
16,14,Y (Y),5,N,Y,0.6428,0.8333,3,O, 
17,13,Y (Y),6,N,Y,0.6388,1.0000,3,O, 
18,12,Y (Y),6,N,Y,0.7222,0.8333,3,O, 
19,12,Y (Y),6,N,Y,0.6825,0.8333,4,O, 
20,12,Y (Y),4,N,Y,0.8253,0.9444,4,O, 
21,11,Y (Y),6,N,Y,0.7063,0.9444,3,O, 
22,11,Y (Y),6,N,Y,0.5238,1.0000,3,O, 
23,11,Y (Y),5,N,Y,0.7063,0.8421,3,O, 
24,11,Y (Y),5,N,Y,0.6111,1.0000,3,O, 
25,11,Y (Y),3,Y,Y,0.9365,0.9444,4,O, 
26,10,Y (Y),5,N,Y,0.7142,0.6666,4,O, 
27,10,Y (Y),5,N,Y,0.5873,1.0000,3,O, 
28,9,Y (Y),5,N,Y,0.7916,1.0000,4,O, 
29,9,Y (Y),5,N,Y,0.7301,1.0000,3,O, 
30,8,Y (Y),6,N,Y,0.6904,1.0000,3,O, 
31,8,Y (Y),6,N,Y,0.6666,0.8611,3,O, 
32,8,Y (Y),6,N,Y,0.6547,0.8055,3,O, 
33,8,Y (Y),6,N,Y,0.5158,0.9722,3,O, 
34,8,Y (Y),3,Y,Y,0.6904,0.8333,4,O, 
35,7,Y (Y),5,N,Y,0.7976,1.0000,4,O, 
36,6,Y (Y),6,N,Y,0.7341,1.0000,3,O, 
37,6,Y (Y),6,N,Y,0.5000,0.8611,3,O, 
38,6,Y (Y),6,N,Y,0.5000,0.8055,3,O, 
39,6,Y (Y),5,N,Y,0.7619,0.6666,4,O, 
40,5,Y (Y),6,Y,Y,0.9365,1.0000,4,O, 
41,5,Y (Y),6,Y,Y,0.8492,0.9444,4,O, 
42,5,Y (Y),6,N,Y,0.8492,1.0000,4,X, 
43,5,Y (Y),6,N,Y,0.8253,0.8333,4,X, 
44,5,Y (Y),6,N,Y,0.7757,0.7777,4,X, 
45,5,Y (Y),6,N,Y,0.7698,0.8333,3,O, 
46,5,Y (Y),6,N,Y,0.7301,0.9722,3,O, 
47,5,Y (Y),6,N,Y,0.6587,1.0000,3,O, 
48,5,Y (Y),6,N,Y,0.6388,0.8611,3,O, 
49,5,Y (Y),6,N,Y,0.5952,0.9722,3,O, 
50,5,Y (Y),6,N,Y,0.5158,0.8333,3,O, 
51,5,Y (Y),6,N,Y,0.4841,0.6944,3,O, 
52,5,Y (Y),5,N,Y,0.8492,1.0000,4,X, 
53,5,Y (Y),5,N,Y,0.6904,0.8888,3,O, 
54,5,Y (Y),5,N,Y,0.6666,0.8333,3,O, 
55,4,Y (Y),6,N,Y,0.8015,0.8333,4,X, 
56,4,Y (Y),6,N,Y,0.7837,0.6944,4,X, 
57,4,Y (Y),6,N,Y,0.7063,1.0000,3,O, 
58,4,Y (Y),6,N,Y,0.6785,0.8333,3,O, 
59,4,Y (Y),6,N,Y,0.6349,0.8888,3,O, 
60,4,Y (Y),6,N,Y,0.4960,0.8611,3,O, 
61,4,Y (Y),5,N,Y,0.7222,0.5000,3,O, 
62,4,Y (Y),5,N,Y,0.5952,0.8611,4,X, 
63,3,Y (Y),6,N,Y,0.8015,0.8611,4,X, 
64,3,Y (Y),6,N,Y,0.7857,1.0000,4,X, 
65,3,Y (Y),6,N,Y,0.7857,0.7777,3,O, 
66,3,Y (Y),6,N,Y,0.6984,0.8333,3,O, 
67,3,Y (Y),6,N,Y,0.6904,1.0000,3,O, 
68,3,Y (Y),6,N,Y,0.6507,0.8333,3,O, 
69,3,Y (Y),6,N,Y,0.5714,0.8611,3,O, 
70,3,Y (Y),6,N,Y,0.5555,1.0000,3,O, 
71,3,Y (Y),6,N,Y,0.5476,0.8888,3,O, 
72,3,Y (Y),6,N,Y,0.5317,0.8611,3,O, 
