순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),6,N,Y,0.6944,0.9166,3,O, 
1,36,Y (Y),6,N,Y,0.6944,0.9166,3,O, 
2,27,Y (Y),6,N,Y,0.5555,0.8611,3,O, 
3,26,Y (Y),6,N,Y,0.6488,0.8888,3,O, 
4,25,Y (Y),6,N,Y,0.2777,0.9444,2,O, 
5,25,Y (Y),6,N,Y,0.2698,0.8888,2,O, 
6,23,Y (Y),6,N,Y,0.2698,0.8888,2,O, 
7,22,Y (Y),6,N,Y,0.2579,0.8611,2,O, 
8,21,Y (Y),6,N,Y,0.2460,0.8888,2,O, 
9,19,Y (Y),6,N,Y,0.5952,1.0000,3,O, 
10,19,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
11,19,Y (Y),6,N,Y,0.2777,1.0000,2,O, 
12,18,Y (Y),5,N,Y,0.2261,0.8333,2,O, 
13,17,Y (Y),6,N,Y,0.2857,0.9166,2,O, 
14,16,Y (Y),6,N,Y,0.6666,0.8333,3,O, 
15,15,Y (Y),6,N,Y,0.6111,0.9166,3,O, 
16,15,Y (Y),4,N,Y,0.9107,0.6666,4,X, 
17,14,Y (Y),6,N,Y,0.5714,0.9736,3,X, 
18,13,Y (Y),6,N,Y,0.3492,0.9444,2,X, 
19,12,Y (Y),6,N,Y,0.5238,0.8611,3,X, 
20,12,Y (Y),6,N,Y,0.2777,1.0000,2,X, 
21,12,Y (Y),5,N,Y,0.3015,1.0000,2,X, 
22,10,Y (Y),6,N,Y,0.4484,1.0000,3,X, 
23,10,Y (Y),6,N,Y,0.4444,1.0000,3,X, 
24,10,Y (Y),6,N,Y,0.3492,0.9444,2,X, 
25,10,Y (Y),6,N,Y,0.3253,1.0000,2,X, 
26,9,Y (Y),6,N,Y,0.7777,1.0000,3,X, 
27,9,Y (Y),6,N,Y,0.3015,1.0000,2,X, 
28,2,Y (Y),6,N,Y,0.2817,0.8888,2,X, 
29,2,Y (Y),5,N,Y,0.2857,1.0000,2,X, 
30,1,Y (Y),6,Y,Y,1.0000,1.0000,4,X, 
31,1,Y (Y),6,N,Y,0.3134,0.8888,2,X, 
32,1,Y (Y),6,N,Y,0.2857,0.7222,2,X, 
0,12,N (N),6,N,Y,0.5000,0.8750,3,O,* 
0,12,N (N),6,N,Y,0.5000,0.8750,3,O,* 
