순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,Y,Y,1.0000,0.8947,4,O, 
1,36,N (N),6,Y,Y,1.0000,0.8947,4,O, 
2,36,N (N),6,N,Y,0.5464,0.9736,3,O, 
3,36,N (N),6,N,Y,0.5407,1.0000,3,O, 
4,36,N (N),6,N,Y,0.5357,0.8611,3,O, 
5,36,N (N),6,N,Y,0.4880,1.0000,3,O, 
6,36,N (N),6,N,Y,0.4178,0.9736,2,O, 
7,36,N (N),6,N,Y,0.2888,1.0000,2,O, 
8,36,N (N),6,N,Y,0.2666,0.8421,2,O, 
9,36,N (N),5,N,Y,0.8357,1.0000,4,O, 
10,36,N (N),5,N,Y,0.8000,1.0000,4,O, 
11,36,N (N),5,N,Y,0.2592,0.9473,2,O, 
12,36,N (N),4,N,Y,0.8333,1.0000,4,O, 
13,36,N (N),3,N,N,1.0000,1.0000,4,O, 
14,36,N (N),2,Y,Y,1.0000,1.0000,4,O, 
15,36,N (N),2,N,Y,1.0000,0.5000,4,O, 
16,36,N (N),1,N,Y,1.0000,1.0000,4,O, 
17,35,N (N),6,N,Y,1.0000,0.6315,4,O, 
18,35,N (N),6,N,Y,0.5714,1.0000,3,O, 
19,35,N (N),6,N,Y,0.5357,1.0000,3,O, 
20,35,N (N),6,N,Y,0.2481,0.8421,2,O, 
21,35,N (N),4,Y,Y,0.9185,1.0000,4,O, 
22,35,N (N),3,N,Y,0.9126,0.8333,4,O, 
23,34,N (N),6,N,Y,0.2857,1.0000,2,O, 
24,33,N (N),6,N,Y,0.3666,0.8421,2,O, 
25,33,N (N),6,N,Y,0.2892,0.8684,2,O, 
26,33,N (N),4,N,Y,0.9185,0.9473,4,O, 
27,32,N (N),6,N,Y,0.2629,0.8157,2,O, 
28,31,N (N),6,Y,Y,0.8740,0.9473,4,O, 
29,31,N (N),6,N,Y,0.8000,0.7894,4,O, 
30,31,N (N),6,N,Y,0.5000,0.8881,3,O, 
31,31,N (N),6,N,Y,0.3015,1.0000,2,O, 
32,31,N (N),6,N,Y,0.2518,0.8947,2,O, 
33,31,N (N),6,N,Y,0.2518,0.8947,2,O, 
34,31,N (N),6,N,N,0.7698,0.6666,4,O, 
35,31,N (N),6,N,N,0.5238,0.6666,3,O, 
36,30,N (N),6,N,Y,0.9523,1.0000,4,O, 
37,30,N (N),6,N,Y,0.6309,0.9444,3,O, 
38,30,N (N),6,N,Y,0.6074,1.0000,3,O, 
39,30,N (N),6,N,Y,0.6052,0.8750,2,O, 
40,30,N (N),6,N,Y,0.4296,0.7894,3,O, 
41,30,N (N),6,N,Y,0.2555,0.9473,2,O, 
42,30,N (N),4,Y,N,0.8730,1.0000,4,O, 
43,29,N (N),6,N,Y,0.3611,1.0000,2,O, 
44,29,N (N),6,N,Y,0.2619,0.8888,2,O, 
45,29,N (N),6,N,N,0.8968,0.8333,4,O, 
46,29,N (N),5,N,Y,0.5317,0.8055,3,O, 
47,28,N (N),6,N,Y,0.8888,0.8333,4,O, 
48,28,N (N),6,N,Y,0.6518,0.7894,4,O, 
49,28,N (N),6,N,Y,0.5000,0.8881,3,O, 
50,28,N (N),6,N,Y,0.2857,0.8333,2,O, 
51,28,N (N),6,N,Y,0.2444,0.8421,2,O, 
52,28,N (N),6,N,Y,0.2407,0.7631,2,O, 
53,28,N (N),6,N,Y,0.2370,0.8421,2,O, 
54,27,N (N),6,N,Y,0.8015,1.0000,4,O, 
55,27,N (N),6,N,Y,0.7619,0.7222,4,X, 
56,27,N (N),6,N,Y,0.2285,0.8684,2,O, 
57,26,N (N),6,N,Y,0.7740,0.9473,4,X, 
58,26,N (N),6,N,Y,0.5428,0.8157,3,O, 
59,26,N (N),6,N,Y,0.4484,0.9166,3,O, 
60,26,N (N),6,N,Y,0.2785,1.0000,2,X, 
61,26,N (N),6,N,Y,0.2296,0.8421,2,X, 
62,25,N (N),6,Y,Y,1.0000,0.8421,4,X, 
63,25,N (N),6,N,Y,0.8253,1.0000,4,X, 
64,25,N (N),6,N,Y,0.8222,0.9473,4,X, 
65,25,N (N),6,N,Y,0.7857,1.0000,4,X, 
66,25,N (N),6,N,Y,0.7642,0.8421,4,X, 
67,25,N (N),6,N,Y,0.6031,0.6666,3,O, 
68,25,N (N),6,N,Y,0.4404,1.0000,3,O, 
69,25,N (N),6,N,Y,0.3015,1.0000,2,X, 
70,25,N (N),6,N,Y,0.2222,0.5263,2,X, 
71,25,N (N),3,N,Y,0.8888,0.8333,4,X, 
72,24,N (N),6,N,Y,0.9259,0.8421,4,X, 
73,24,N (N),6,N,Y,0.5396,0.9166,3,O, 
74,24,N (N),6,N,Y,0.5214,0.9473,3,O, 
75,24,N (N),5,N,Y,0.3851,0.8421,3,O, 
76,24,N (N),3,N,Y,0.4761,1.0000,3,O, 
77,23,N (N),6,N,Y,0.7785,0.9473,4,X, 
78,23,N (N),6,N,Y,0.7103,1.0000,3,X, 
79,23,N (N),5,N,Y,0.8650,1.0000,4,X, 
80,22,N (N),6,N,Y,0.6607,0.8333,3,X, 
81,22,N (N),6,N,Y,0.5873,0.9166,3,X, 
82,22,N (N),6,N,Y,0.5793,0.8611,3,X, 
83,22,N (N),6,N,Y,0.5079,0.8611,3,X, 
84,22,N (N),6,N,Y,0.2857,0.9444,2,X, 
85,22,N (N),6,N,Y,0.2642,1.0000,2,X, 
86,22,N (N),4,N,N,0.9107,1.0000,4,X, 
87,21,N (N),6,N,Y,0.2420,0.9444,2,X, 
88,20,N (N),6,N,Y,0.7976,1.0000,4,X, 
89,20,N (N),6,N,Y,0.3015,1.0000,2,X, 
90,20,N (N),6,N,Y,0.3015,1.0000,2,X, 
91,20,N (N),6,N,Y,0.1468,0.4722,2,X, 
92,20,N (N),5,N,Y,0.5238,0.6578,3,X, 
93,19,N (N),5,N,Y,0.2777,0.8333,2,X, 
94,18,N (N),6,N,Y,0.8492,0.8333,4,X, 
95,18,N (N),6,N,Y,0.5952,1.0000,3,X, 
96,17,N (N),6,N,Y,0.8730,0.9473,4,X, 
97,14,N (N),6,N,Y,0.5515,0.8611,3,X, 
98,14,N (N),6,N,Y,0.3851,0.8947,2,X, 
99,12,N (N),6,N,Y,0.8095,1.0000,4,X, 
100,12,N (N),6,N,Y,0.5185,0.8421,3,X, 
101,8,N (N),6,N,Y,0.6349,1.0000,4,X, 
102,6,N (N),6,N,Y,0.8571,0.5000,4,X, 
103,6,N (N),6,N,Y,0.2936,1.0000,2,X, 
104,6,N (N),6,N,N,0.6587,1.0000,3,X, 
105,4,N (N),6,N,Y,0.3888,0.8611,2,X, 
106,3,N (N),6,N,Y,0.4851,0.6315,3,X, 
107,3,N (N),4,N,N,0.5634,0.8333,3,X, 
