순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,24,Y (Y),5,N,Y,0.6190,1.0000,3,O, 
1,24,Y (Y),5,N,Y,0.6190,1.0000,3,O, 
2,17,Y (Y),6,N,Y,0.6230,1.0000,3,O, 
3,13,Y (Y),6,N,Y,0.2976,1.0000,2,O, 
4,8,Y (Y),6,N,Y,0.2857,1.0000,2,O, 
5,7,Y (Y),6,N,Y,0.7222,1.0000,3,O, 
6,7,Y (Y),6,N,Y,0.3333,1.0000,2,O, 
7,5,Y (Y),6,N,Y,0.3809,0.8611,2,O, 
8,4,Y (Y),6,N,Y,0.6507,0.9444,3,O, 
9,3,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
10,2,Y (Y),6,N,Y,0.3293,0.5555,2,O, 
11,2,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
12,1,Y (Y),6,N,Y,0.5119,0.9166,3,O, 
13,1,Y (Y),6,N,Y,0.4365,0.9166,2,O, 
14,1,Y (Y),6,N,Y,0.4166,0.9166,2,O, 
15,1,Y (Y),6,N,Y,0.3373,0.6944,2,O, 
16,1,Y (Y),6,N,Y,0.3174,1.0000,2,O, 
17,1,Y (Y),6,N,Y,0.2936,0.8611,2,O, 
18,1,Y (Y),6,N,Y,0.2698,0.8333,2,O, 
19,1,Y (Y),5,N,Y,0.3809,0.8611,2,O, 
