순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,16,Y (Y),4,N,Y,0.3492,1.0000,2,O, 
1,16,Y (Y),4,N,Y,0.3492,1.0000,2,O, 
2,13,Y (Y),5,N,Y,0.3174,1.0000,2,O, 
3,5,Y (Y),6,N,Y,0.4166,0.8611,2,O, 
4,5,Y (Y),6,N,Y,0.4047,0.9166,2,O, 
5,5,Y (Y),6,N,Y,0.3452,0.6944,2,O, 
6,1,Y (Y),6,N,Y,0.7380,1.0000,3,O, 
7,1,Y (Y),6,N,Y,0.3888,1.0000,2,O, 
8,1,Y (Y),6,N,Y,0.3174,1.0000,2,O, 
9,1,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
10,1,Y (Y),6,N,Y,0.2936,0.8888,2,O, 
11,1,Y (Y),5,N,Y,0.3174,1.0000,2,O, 
12,1,Y (Y),5,N,Y,0.2301,0.5555,2,O, 
