순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,16,Y (Y),6,N,Y,0.6349,1.0000,3,O, 
1,16,Y (Y),6,N,Y,0.6349,1.0000,3,O, 
2,10,Y (Y),6,Y,Y,0.9126,0.6666,4,O, 
3,10,Y (Y),6,N,Y,0.6269,1.0000,3,O, 
4,10,Y (Y),6,N,Y,0.2698,0.9444,2,O, 
5,9,Y (Y),6,N,Y,0.2539,0.8333,2,O, 
6,5,Y (Y),6,N,Y,0.8412,0.8333,4,O, 
7,5,Y (Y),6,N,Y,0.3849,0.9166,2,O, 
8,5,Y (Y),5,N,Y,0.2936,0.7777,2,O, 
9,3,Y (Y),6,N,Y,0.8095,1.0000,4,O, 
10,3,Y (Y),6,N,Y,0.6567,0.8611,3,O, 
11,3,Y (Y),4,Y,Y,0.9841,1.0000,4,O, 
12,1,Y (Y),6,N,Y,0.8015,1.0000,4,O, 
13,1,Y (Y),6,N,Y,0.6349,1.0000,3,O, 
14,1,Y (Y),6,N,Y,0.5714,1.0000,3,O, 
15,1,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
