순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,30,Y (Y),6,N,Y,0.7539,0.9722,4,O, 
1,30,Y (Y),6,N,Y,0.7539,0.9722,4,O, 
2,28,Y (Y),6,N,Y,0.7936,1.0000,4,O, 
3,22,Y (Y),4,N,Y,0.8174,1.0000,4,O, 
4,20,Y (Y),3,N,Y,0.7936,1.0000,3,O, 
5,18,Y (Y),5,N,Y,0.7619,0.8611,4,X, 
6,18,Y (Y),5,N,Y,0.7619,0.8611,4,X, 
7,15,Y (Y),6,N,Y,0.7301,1.0000,4,X, 
8,13,Y (Y),6,N,Y,0.5952,1.0000,3,O, 
9,13,Y (Y),6,N,Y,0.2619,0.7777,2,O, 
10,12,Y (Y),6,N,Y,0.6230,0.3333,4,X, 
11,12,Y (Y),6,N,Y,0.5555,0.8611,4,X, 
12,11,Y (Y),6,N,Y,0.2063,0.7222,2,O, 
13,10,Y (Y),6,Y,Y,0.9186,0.8888,4,X, 
14,10,Y (Y),6,Y,Y,0.9126,0.6666,4,X, 
15,10,Y (Y),6,Y,Y,0.8869,0.8888,4,X, 
16,10,Y (Y),6,N,Y,0.7301,0.8333,4,X, 
17,10,Y (Y),6,N,Y,0.3928,0.8611,2,O, 
18,10,Y (Y),6,N,Y,0.2539,0.7222,2,O, 
19,10,Y (Y),5,N,Y,0.7539,1.0000,3,O, 
20,9,Y (Y),6,Y,Y,0.8333,0.3333,4,X, 
21,9,Y (Y),6,N,Y,0.7539,0.8611,4,X, 
22,9,Y (Y),6,N,Y,0.4801,1.0000,2,O, 
23,9,Y (Y),6,N,Y,0.4007,0.9722,2,O, 
24,8,Y (Y),6,N,Y,0.6388,0.6944,4,X, 
25,8,Y (Y),5,N,Y,0.2738,0.6111,2,O, 
26,7,Y (Y),6,N,Y,0.5039,1.0000,3,O, 
27,7,Y (Y),6,N,Y,0.3174,0.9444,2,O, 
28,7,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
29,6,Y (Y),6,N,Y,0.7301,1.0000,3,O, 
30,6,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
31,6,Y (Y),5,N,Y,0.4365,1.0000,2,O, 
32,5,Y (Y),6,N,Y,0.4166,0.9166,2,O, 
33,5,Y (Y),6,N,Y,0.2579,0.8333,2,O, 
34,5,Y (Y),6,N,Y,0.2301,1.0000,2,O, 
35,5,Y (Y),5,N,Y,0.3888,0.8333,2,O, 
36,5,Y (Y),5,N,Y,0.3452,0.6666,2,O, 
37,4,Y (Y),6,N,Y,0.4325,0.8611,2,O, 
38,4,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
39,3,Y (Y),6,N,Y,0.3809,0.6666,3,O, 
40,3,Y (Y),5,N,Y,0.2698,0.8333,2,O, 
41,2,Y (Y),6,N,Y,0.2261,0.6388,2,O, 
