순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),6,N,Y,0.7142,1.0000,4,O, 
1,36,Y (Y),6,N,Y,0.7142,1.0000,4,O, 
2,30,Y (Y),6,N,Y,0.4365,0.8611,3,O, 
3,27,Y (Y),5,N,Y,0.3531,0.5555,2,O, 
4,27,Y (Y),5,N,Y,0.2896,0.2222,2,O, 
5,25,Y (Y),6,N,Y,0.5277,0.6666,3,O, 
6,25,Y (Y),6,N,Y,0.3769,0.7500,2,O, 
7,25,Y (Y),6,N,Y,0.3611,0.7500,2,O, 
8,25,Y (Y),6,N,Y,0.2539,0.8333,2,O, 
9,24,Y (Y),6,N,Y,0.3888,0.8611,2,O, 
10,23,Y (Y),6,N,Y,0.7222,1.0000,3,O, 
11,23,Y (Y),6,N,Y,0.2460,0.7777,2,O, 
12,22,Y (Y),6,N,Y,0.6190,0.8333,3,O, 
13,22,Y (Y),5,N,Y,0.2539,0.8333,2,O, 
14,21,Y (Y),6,N,Y,0.2777,1.0000,2,X, 
15,21,Y (Y),5,N,Y,0.2857,1.0000,2,X, 
16,20,Y (Y),6,N,Y,0.6587,0.6666,3,O, 
17,20,Y (Y),6,N,Y,0.5000,0.8750,3,X, 
18,20,Y (Y),6,N,Y,0.4166,0.9166,2,X, 
19,20,Y (Y),6,N,Y,0.3928,0.9166,2,X, 
20,20,Y (Y),6,N,Y,0.2777,1.0000,2,X, 
21,20,Y (Y),5,N,Y,0.5357,0.8333,3,X, 
22,19,Y (Y),6,N,Y,0.4087,0.9722,2,X, 
23,18,Y (Y),6,N,Y,0.2777,0.8333,2,X, 
24,18,Y (Y),6,N,Y,0.2539,0.9444,2,X, 
25,16,Y (Y),6,N,Y,0.6587,1.0000,3,X, 
26,16,Y (Y),6,N,Y,0.6507,1.0000,3,X, 
27,16,Y (Y),6,N,Y,0.6150,1.0000,3,X, 
28,16,Y (Y),6,N,Y,0.6150,1.0000,3,X, 
29,16,Y (Y),6,N,Y,0.5992,0.6944,3,X, 
30,16,Y (Y),6,N,Y,0.4920,1.0000,3,X, 
31,16,Y (Y),6,N,Y,0.4285,0.3888,3,X, 
32,16,Y (Y),6,N,Y,0.3769,0.8611,3,X, 
33,15,Y (Y),6,N,Y,0.6626,1.0000,3,X, 
34,15,Y (Y),6,N,Y,0.5873,1.0000,3,X, 
35,15,Y (Y),6,N,Y,0.5873,0.9722,3,X, 
36,15,Y (Y),6,N,Y,0.5476,0.8611,3,X, 
37,15,Y (Y),6,N,Y,0.4484,1.0000,2,X, 
38,15,Y (Y),5,N,Y,0.2658,0.9166,2,X, 
39,15,Y (Y),5,N,Y,0.2619,0.8888,2,X, 
40,14,Y (Y),6,N,Y,0.6468,0.6666,3,X, 
41,14,Y (Y),6,N,Y,0.5396,0.8611,3,X, 
42,13,Y (Y),6,N,Y,0.5198,0.9722,3,X, 
43,13,Y (Y),6,N,Y,0.4404,1.0000,2,X, 
44,12,Y (Y),6,N,Y,0.6785,0.9444,3,X, 
45,12,Y (Y),6,N,Y,0.5555,1.0000,3,X, 
46,12,Y (Y),6,N,Y,0.5555,0.9722,3,X, 
47,12,Y (Y),6,N,Y,0.5277,0.8333,3,X, 
48,12,Y (Y),6,N,Y,0.5198,1.0000,3,X, 
49,12,Y (Y),6,N,Y,0.2936,1.0000,2,X, 
50,10,Y (Y),6,N,Y,0.6666,0.8333,3,X, 
51,10,Y (Y),6,N,Y,0.3412,0.9444,2,X, 
52,10,Y (Y),6,N,Y,0.2777,1.0000,2,X, 
53,10,Y (Y),6,N,N,0.3849,0.1944,3,X, 
54,7,Y (Y),6,N,Y,0.5277,0.8611,3,X, 
55,7,Y (Y),6,N,Y,0.2619,0.8888,2,X, 
56,6,Y (Y),6,N,Y,0.7698,0.6666,4,O, 
57,6,Y (Y),6,N,Y,0.4920,0.8611,3,X, 
58,6,Y (Y),6,N,Y,0.4920,0.7500,3,X, 
59,5,Y (Y),6,N,Y,0.6746,1.0000,3,X, 
60,5,Y (Y),6,N,Y,0.4722,1.0000,3,X, 
61,5,Y (Y),6,N,Y,0.2698,0.8888,2,X, 
62,5,Y (Y),6,N,Y,0.2380,0.8888,2,X, 
63,3,Y (Y),6,N,Y,0.4801,0.9722,3,X, 
64,3,Y (Y),6,N,Y,0.2222,0.7222,2,X, 
65,2,Y (Y),6,N,Y,0.2857,0.8055,2,X, 
