순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,23,Y (Y),5,N,Y,0.1865,0.8888,2,O, 
1,23,Y (Y),5,N,Y,0.1865,0.8888,2,O, 
2,22,Y (Y),6,N,Y,0.2341,0.8611,2,O, 
3,20,Y (Y),5,N,Y,0.6190,1.0000,3,O, 
4,19,Y (Y),6,N,Y,0.4642,1.0000,2,O, 
5,18,Y (Y),6,N,Y,0.2619,1.0000,2,O, 
6,18,Y (Y),4,N,Y,0.6031,1.0000,3,O, 
7,17,Y (Y),6,N,Y,0.6190,1.0000,3,O, 
8,17,Y (Y),6,N,Y,0.4722,1.0000,2,O, 
9,17,Y (Y),6,N,Y,0.2619,0.8888,2,O, 
10,16,Y (Y),5,N,Y,0.3015,1.0000,2,O, 
11,15,Y (Y),6,N,Y,0.3650,0.8888,2,O, 
12,15,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
13,15,Y (Y),6,N,Y,0.2460,0.8888,2,O, 
14,15,Y (Y),5,N,Y,0.5833,1.0000,3,O, 
15,15,Y (Y),5,N,Y,0.2857,1.0000,2,O, 
16,14,Y (Y),6,N,Y,0.7777,1.0000,4,O, 
17,14,Y (Y),6,N,Y,0.4007,0.8055,2,O, 
18,14,Y (Y),5,N,Y,0.4484,1.0000,2,O, 
19,13,Y (Y),6,N,Y,0.5357,0.8611,3,O, 
20,13,Y (Y),6,N,Y,0.4880,0.9166,3,O, 
21,11,Y (Y),6,N,Y,0.5912,1.0000,3,O, 
22,11,Y (Y),6,N,Y,0.4047,0.6944,2,O, 
23,9,Y (Y),6,N,Y,0.6230,0.8611,3,O, 
24,9,Y (Y),6,N,Y,0.3333,0.3888,3,O, 
25,8,Y (Y),6,N,Y,0.4007,1.0000,2,O, 
26,5,Y (Y),6,N,Y,0.5317,0.9166,3,O, 
27,5,Y (Y),6,N,Y,0.4761,1.0000,2,O, 
28,5,Y (Y),4,N,Y,0.5674,1.0000,3,O, 
29,1,Y (Y),6,Y,Y,1.0000,0.8333,4,O, 
30,1,Y (Y),6,N,Y,0.8095,0.8333,4,O, 
31,1,Y (Y),6,N,Y,0.5714,1.0000,3,X, 
