순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,15,Y (Y),5,N,Y,0.5595,0.5555,4,O, 
1,15,Y (Y),5,N,Y,0.5595,0.5555,4,O, 
2,13,Y (Y),6,N,Y,0.5277,0.9166,3,O, 
3,12,Y (Y),6,N,Y,0.6825,1.0000,3,O, 
4,12,Y (Y),6,N,Y,0.5912,1.0000,3,O, 
5,11,Y (Y),6,N,Y,0.3888,0.8333,2,O, 
6,10,Y (Y),6,N,Y,0.5079,1.0000,3,O, 
7,10,Y (Y),6,N,Y,0.4007,0.9722,2,O, 
8,7,Y (Y),6,N,Y,0.6706,1.0000,3,O, 
9,6,Y (Y),6,N,Y,0.4841,1.0000,2,O, 
10,5,Y (Y),6,N,Y,0.6825,1.0000,3,O, 
11,5,Y (Y),6,N,Y,0.6269,0.8611,3,O, 
12,5,Y (Y),6,N,Y,0.3809,0.6944,2,O, 
13,5,Y (Y),5,N,Y,0.6349,0.8333,3,O, 
14,3,Y (Y),6,N,Y,0.4722,1.0000,2,O, 
15,2,Y (Y),6,N,Y,0.4404,1.0000,2,O, 
16,1,Y (Y),6,N,Y,0.4801,1.0000,2,O, 
17,1,Y (Y),6,N,Y,0.4166,0.8611,2,O, 
18,1,Y (Y),6,N,Y,0.3690,0.6944,2,O, 
