순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,13,Y (Y),6,N,Y,0.4246,0.9722,2,O, 
1,13,Y (Y),6,N,Y,0.4246,0.9722,2,O, 
2,8,Y (Y),6,N,Y,0.4444,0.9166,3,O, 
3,7,Y (Y),6,N,Y,0.7539,1.0000,3,O, 
4,7,Y (Y),6,N,Y,0.6984,0.9166,4,O, 
5,7,Y (Y),6,N,Y,0.4206,1.0000,2,O, 
6,6,Y (Y),6,N,Y,0.5158,0.8888,3,O, 
7,5,Y (Y),6,N,Y,0.7976,0.8333,4,O, 
8,5,Y (Y),6,N,Y,0.5833,1.0000,3,O, 
9,4,Y (Y),6,N,Y,0.3849,0.8611,2,O, 
10,4,Y (Y),6,N,Y,0.3769,1.0000,2,O, 
11,3,Y (Y),6,N,Y,0.7142,1.0000,3,O, 
12,3,Y (Y),6,N,Y,0.4841,0.8611,3,O, 
13,2,Y (Y),5,N,Y,0.7698,0.8333,4,O, 
14,1,Y (Y),6,N,Y,0.7539,0.8333,4,O, 
15,1,Y (Y),6,N,Y,0.5000,0.8611,3,O, 
16,1,Y (Y),6,N,Y,0.4563,0.9722,2,O, 
17,1,Y (Y),6,N,Y,0.3928,0.8611,2,O, 
