순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,24,Y (Y),6,N,Y,0.8492,0.8333,4,O, 
1,24,Y (Y),6,N,Y,0.8492,0.8333,4,O, 
2,24,Y (Y),6,N,Y,0.6626,1.0000,3,O, 
3,24,Y (Y),6,N,Y,0.2500,0.8611,2,O, 
4,24,Y (Y),6,N,Y,0.2460,0.8055,2,X, 
5,24,Y (Y),4,N,Y,0.4722,0.7500,3,X, 
6,23,Y (Y),6,N,N,0.4206,0.9722,2,X, 
7,20,Y (Y),4,Y,Y,0.9047,1.0000,4,X, 
8,12,Y (Y),6,N,Y,0.2936,1.0000,2,X, 
9,12,Y (Y),6,N,Y,0.2460,1.0000,2,X, 
10,12,Y (Y),6,N,N,0.6944,1.0000,3,X, 
11,11,Y (Y),5,N,Y,0.2619,1.0000,2,X, 
12,10,Y (Y),6,Y,N,0.9920,0.8333,4,X, 
13,9,Y (Y),6,N,Y,0.8015,0.8333,4,X, 
14,8,Y (Y),6,Y,N,0.9444,0.8611,4,X, 
