순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),6,N,Y,0.7539,0.8333,4,O, 
1,36,Y (Y),6,N,Y,0.7539,0.8333,4,O, 
2,35,Y (Y),6,N,Y,0.5555,0.6944,3,O, 
3,34,Y (Y),6,N,Y,0.6190,1.0000,3,O, 
4,34,Y (Y),5,N,Y,0.8333,1.0000,4,O, 
5,30,Y (Y),6,N,Y,0.6666,0.9722,3,O, 
6,28,Y (Y),6,N,Y,0.3928,0.8611,2,O, 
7,25,Y (Y),6,Y,Y,0.9126,1.0000,4,O, 
8,25,Y (Y),6,Y,Y,0.9087,1.0000,4,O, 
9,25,Y (Y),5,Y,Y,0.8849,0.8333,4,O, 
10,22,Y (Y),5,N,Y,0.6746,0.8333,3,O, 
11,21,Y (Y),5,N,Y,0.6468,0.8333,3,O, 
12,20,Y (Y),6,N,Y,0.6269,1.0000,3,O, 
13,20,Y (Y),6,N,Y,0.2777,1.0000,2,O, 
14,18,Y (Y),6,N,Y,0.6626,1.0000,3,O, 
15,17,Y (Y),5,N,Y,0.8015,0.7777,4,O, 
16,16,Y (Y),6,N,Y,0.4007,0.9722,2,O, 
17,16,Y (Y),5,N,Y,0.2936,0.7777,2,O, 
18,15,Y (Y),6,Y,Y,0.9186,0.8888,4,O, 
19,15,Y (Y),6,Y,Y,0.8869,0.8888,4,O, 
20,15,Y (Y),6,N,Y,0.7380,0.7777,4,O, 
21,15,Y (Y),6,N,Y,0.4325,1.0000,2,O, 
22,14,Y (Y),6,N,Y,0.3769,0.8611,2,O, 
23,14,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
24,14,Y (Y),4,N,Y,0.4325,1.0000,2,O, 
25,13,Y (Y),5,N,Y,0.4325,0.8611,2,O, 
26,13,Y (Y),4,N,Y,0.4246,1.0000,2,O, 
27,12,Y (Y),6,N,Y,0.7500,1.0000,4,O, 
28,12,Y (Y),6,N,Y,0.3531,0.9444,2,O, 
29,12,Y (Y),5,N,Y,0.7698,0.8333,4,O, 
30,11,Y (Y),6,N,Y,0.7222,1.0000,4,O, 
31,11,Y (Y),6,N,Y,0.4444,0.7222,2,X, 
32,11,Y (Y),6,N,Y,0.4007,0.9722,2,X, 
33,11,Y (Y),6,N,Y,0.3174,0.9444,2,X, 
34,10,Y (Y),6,N,Y,0.7301,0.8333,4,X, 
35,10,Y (Y),6,N,Y,0.4484,0.8333,3,X, 
36,10,Y (Y),6,N,Y,0.3849,0.9166,2,X, 
37,10,Y (Y),6,N,Y,0.3849,0.8611,2,X, 
38,10,Y (Y),5,N,Y,0.6626,0.8333,3,X, 
39,10,Y (Y),5,N,Y,0.6587,0.8611,3,X, 
40,10,Y (Y),5,N,Y,0.4880,0.8333,3,X, 
41,10,Y (Y),5,N,Y,0.3928,0.8611,2,X, 
42,10,Y (Y),5,N,Y,0.3015,1.0000,2,X, 
43,9,Y (Y),5,N,Y,0.4166,0.8611,2,X, 
44,8,Y (Y),6,N,Y,0.5793,0.8611,3,X, 
45,8,Y (Y),6,N,Y,0.3531,0.9444,2,X, 
46,8,Y (Y),6,N,Y,0.2936,1.0000,2,X, 
47,8,Y (Y),6,N,Y,0.2936,1.0000,2,X, 
48,8,Y (Y),5,N,Y,0.7857,0.8333,4,X, 
49,7,Y (Y),6,N,Y,0.7301,1.0000,4,X, 
50,7,Y (Y),6,N,Y,0.4444,0.9166,3,X, 
51,5,Y (Y),6,N,Y,0.7777,1.0000,4,X, 
52,5,Y (Y),6,N,Y,0.3769,0.8611,2,X, 
53,5,Y (Y),6,N,Y,0.3373,0.6944,2,X, 
54,5,Y (Y),6,N,Y,0.2698,1.0000,2,X, 
55,3,Y (Y),6,N,Y,0.8650,1.0000,4,X, 
56,3,Y (Y),6,N,Y,0.3452,0.8888,2,X, 
57,2,Y (Y),6,N,Y,0.4603,0.7500,2,X, 
58,1,Y (Y),6,N,Y,0.5158,0.8611,3,X, 
59,1,Y (Y),6,N,Y,0.2936,1.0000,2,X, 
