순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,18,Y (Y),6,N,Y,0.3888,0.8888,2,O, 
1,18,Y (Y),6,N,Y,0.3888,0.8888,2,O, 
2,17,Y (Y),6,N,Y,0.3531,0.9444,2,O, 
3,17,Y (Y),6,N,Y,0.2539,0.8888,2,O, 
4,16,Y (Y),6,N,Y,0.3531,0.9444,2,O, 
5,16,Y (Y),6,N,Y,0.3452,0.6666,2,O, 
6,15,Y (Y),6,N,Y,0.2380,0.8333,2,O, 
7,15,Y (Y),5,N,Y,0.3015,0.7777,2,O, 
8,11,Y (Y),6,N,Y,0.4007,0.9722,2,O, 
9,10,Y (Y),5,N,Y,0.2698,0.9444,2,O, 
10,9,Y (Y),6,N,Y,0.3888,0.8888,2,O, 
11,8,Y (Y),6,N,Y,0.2777,0.8333,2,O, 
12,5,Y (Y),6,Y,Y,0.8571,1.0000,4,O, 
13,5,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
14,2,Y (Y),6,N,Y,0.4007,1.0000,2,O, 
15,2,Y (Y),6,N,Y,0.2261,0.6388,2,O, 
16,1,Y (Y),6,N,Y,0.5000,0.8750,3,O, 
17,1,Y (Y),6,N,N,0.3214,0.5277,3,O, 
