순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,10,N (N),6,N,Y,0.8095,0.8888,4,O, 
1,10,N (N),6,N,Y,0.8095,0.8888,4,O, 
2,10,N (N),6,N,Y,0.8000,1.0000,4,O, 
3,4,N (N),4,N,Y,0.7428,0.6315,4,O, 
4,3,N (N),6,N,Y,0.8296,0.9473,4,O, 
5,2,N (N),6,N,Y,0.3214,1.0000,2,O, 
6,2,N (N),6,N,Y,0.2857,1.0000,2,O, 
7,2,N (N),6,N,Y,0.2857,1.0000,2,O, 
8,1,N (N),6,N,Y,0.7936,0.8333,4,O, 
9,1,N (N),6,N,Y,0.5952,0.8333,4,O, 
10,1,N (N),6,N,Y,0.5925,1.0000,3,O, 
11,1,N (N),6,N,Y,0.4259,1.0000,2,O, 
12,1,N (N),6,N,Y,0.2740,1.0000,2,O, 
13,1,N (N),6,N,Y,0.2592,0.9473,2,O, 
14,1,N (N),5,N,Y,0.3849,0.8611,2,O, 
15,1,N (N),5,N,Y,0.2888,0.9473,2,O, 
