순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,22,N (N),6,N,Y,0.6777,0.9473,3,O, 
1,22,N (N),6,N,Y,0.6777,0.9473,3,O, 
2,12,N (N),6,N,Y,0.6349,0.9444,3,O, 
3,4,N (N),6,N,Y,0.7222,1.0000,3,O, 
4,3,N (N),6,Y,Y,1.0000,0.8333,4,O, 
5,3,N (N),6,N,Y,0.8174,1.0000,4,O, 
6,3,N (N),5,Y,Y,0.8888,0.7894,4,O, 
7,2,N (N),6,N,Y,0.7698,0.8333,4,O, 
8,2,N (N),6,N,Y,0.5158,0.8333,3,O, 
9,1,N (N),6,Y,Y,0.9126,0.8888,4,O, 
10,1,N (N),6,Y,Y,0.9047,0.8888,4,O, 
11,1,N (N),6,Y,Y,0.8571,1.0000,4,O, 
12,1,N (N),6,N,Y,0.8968,1.0000,4,O, 
13,1,N (N),6,N,Y,0.7460,0.6666,4,O, 
14,1,N (N),6,N,Y,0.6468,0.8333,4,O, 
15,1,N (N),6,N,Y,0.5873,1.0000,3,O, 
16,1,N (N),6,N,Y,0.5481,0.9736,3,O, 
