순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,Y,Y,0.8769,1.0000,4,O, 
1,36,N (N),6,Y,Y,0.8769,1.0000,4,O, 
2,36,N (N),6,N,Y,0.6587,1.0000,3,O, 
3,36,N (N),6,N,Y,0.6518,0.8421,3,O, 
4,36,N (N),6,N,N,0.4703,0.8157,3,O, 
5,35,N (N),6,N,Y,0.8357,0.9473,4,O, 
6,34,N (N),4,Y,Y,0.9087,1.0000,4,O, 
7,32,N (N),6,N,Y,0.4960,0.8611,2,O, 
8,28,N (N),6,N,Y,0.8074,1.0000,4,O, 
9,24,N (N),6,N,Y,0.5296,0.9736,3,O, 
10,22,N (N),6,N,Y,0.2962,1.0000,2,O, 
11,18,N (N),6,Y,N,1.0000,0.6666,4,O, 
12,18,N (N),6,N,Y,0.4555,0.9736,2,O, 
13,18,N (N),6,N,Y,0.3015,1.0000,2,O, 
14,17,N (N),6,N,Y,0.8000,1.0000,4,O, 
15,17,N (N),6,N,Y,0.4607,0.9736,2,O, 
16,16,N (N),6,N,Y,0.4333,0.9736,2,O, 
17,15,N (N),6,N,Y,0.7817,1.0000,4,O, 
18,15,N (N),6,N,Y,0.7703,0.7894,4,O, 
19,15,N (N),6,N,Y,0.6444,0.6315,3,O, 
20,15,N (N),6,N,Y,0.4481,1.0000,2,O, 
21,15,N (N),4,N,Y,0.9000,0.1666,4,O, 
22,14,N (N),6,N,Y,0.2592,0.6842,2,O, 
23,14,N (N),5,N,Y,0.3174,1.0000,2,O, 
24,12,N (N),6,N,Y,0.8253,0.8333,4,O, 
25,12,N (N),6,N,Y,0.6944,0.8611,4,X, 
26,12,N (N),6,N,Y,0.5703,0.8684,3,X, 
27,12,N (N),6,N,Y,0.4703,1.0000,2,X, 
28,11,N (N),6,N,Y,0.5674,0.8611,3,X, 
29,10,N (N),6,Y,Y,0.8730,1.0000,4,X, 
30,10,N (N),6,N,Y,0.8650,0.8333,4,X, 
31,10,N (N),6,N,Y,0.5277,0.8611,3,X, 
32,10,N (N),6,N,Y,0.3111,1.0000,2,X, 
33,10,N (N),5,Y,Y,0.8666,0.9473,4,X, 
34,9,N (N),6,N,Y,0.6333,0.6578,4,X, 
35,9,N (N),6,N,Y,0.3015,1.0000,2,X, 
36,8,N (N),6,N,Y,0.7296,1.0000,3,X, 
37,7,N (N),6,N,Y,0.7777,1.0000,4,X, 
38,6,N (N),6,N,Y,0.6666,1.0000,3,X, 
39,5,N (N),6,N,Y,0.6111,0.8684,3,X, 
40,5,N (N),6,N,Y,0.3412,1.0000,2,X, 
41,4,N (N),6,N,Y,0.3253,1.0000,2,X, 
42,3,N (N),6,N,Y,0.7703,1.0000,4,X, 
43,3,N (N),6,N,Y,0.2740,0.9473,2,X, 
44,2,N (N),6,N,Y,0.3015,0.8333,2,X, 
45,1,N (N),6,Y,Y,0.9523,0.9444,4,X, 
46,1,N (N),6,N,Y,0.9603,0.9444,4,X, 
