순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),6,N,Y,0.4296,0.9736,3,O, 
1,36,Y (Y),6,N,Y,0.4296,0.9736,3,O, 
2,36,Y (Y),1,Y,N,1.0000,0.3333,4,O, 
3,36,N (N),6,N,Y,0.6357,0.9736,3,O, 
4,36,N (N),1,N,Y,0.5000,0.8750,3,O, 
5,25,N (N),6,N,Y,0.3642,0.4736,4,O, 
6,19,N (N),5,N,N,0.9761,1.0000,4,O, 
7,16,N (N),6,N,Y,0.6296,0.7894,3,O, 
8,15,Y (Y),5,N,Y,0.7857,0.9444,4,O, 
9,12,Y (Y),6,N,Y,0.8000,0.7894,4,O, 
10,12,Y (Y),6,N,Y,0.5873,0.7500,3,O, 
11,12,N (N),6,N,Y,0.6740,0.9473,4,O, 
12,10,Y (Y),6,N,Y,0.8296,0.8333,4,O, 
13,10,Y (Y),6,N,Y,0.7500,0.9473,4,O, 
14,9,Y (Y),6,Y,Y,0.9047,0.6666,4,O, 
15,9,Y (Y),6,N,Y,0.8731,0.9473,4,O, 
16,8,N (N),6,N,Y,0.5535,0.2105,4,O, 
17,7,N (N),6,N,Y,0.3185,1.0000,2,O, 
18,6,N (N),6,N,Y,0.2666,0.8421,2,O, 
19,5,N (N),6,N,Y,0.6518,0.9473,3,O, 
20,3,Y (Y),6,N,Y,0.6814,1.0000,3,O, 
21,3,Y (Y),6,N,Y,0.5952,0.8333,3,O, 
22,3,N (N),6,N,Y,0.6222,0.9736,3,O, 
23,3,N (N),6,N,Y,0.3333,1.0000,2,O, 
24,3,N (N),6,N,Y,0.2888,0.9473,2,O, 
25,3,N (N),6,N,Y,0.2518,0.8947,2,O, 
26,3,N (N),6,N,Y,0.2518,0.8421,2,O, 
27,2,Y (Y),6,N,Y,1.0000,1.0000,4,O, 
28,2,N (N),6,Y,Y,0.8642,1.0000,4,O, 
29,2,N (N),6,N,Y,0.7928,0.9736,4,O, 
30,2,N (N),6,N,Y,0.2777,0.8888,2,O, 
31,1,N (N),6,Y,Y,0.9365,1.0000,4,O, 
32,1,N (N),6,N,Y,0.7698,0.8333,4,O, 
33,1,N (N),6,N,Y,0.5407,0.9473,3,O, 
34,1,N (N),6,N,Y,0.3253,0.8947,2,O, 
35,1,N (N),6,N,Y,0.2857,1.0000,2,O, 
36,1,N (N),6,N,Y,0.2777,0.9210,2,O, 
