순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),1,N,Y,0.2500,0.8881,2,O, 
1,36,N (N),1,N,Y,0.2500,0.8881,2,O, 
2,35,N (N),2,N,Y,0.2500,0.9375,2,O, 
3,26,N (N),6,N,Y,0.8571,1.0000,4,O, 
4,20,N (N),6,N,Y,0.6785,1.0000,3,O, 
5,20,N (N),6,N,Y,0.6349,0.9166,3,O, 
6,18,N (N),6,N,Y,0.7962,0.8333,4,O, 
7,18,N (N),6,N,Y,0.7111,1.0000,3,O, 
8,18,N (N),3,N,Y,0.7500,0.8289,4,O, 
9,16,N (N),6,Y,Y,0.8740,1.0000,4,O, 
10,16,N (N),6,N,Y,0.5357,0.8611,4,O, 
11,15,N (N),6,N,Y,0.8412,0.8333,4,O, 
12,15,N (N),6,N,Y,0.7460,1.0000,3,O, 
13,15,N (N),6,N,Y,0.6825,1.0000,3,O, 
14,14,N (N),6,N,Y,0.4555,0.7631,3,O, 
15,13,N (N),6,N,Y,0.8666,0.8421,4,O, 
16,13,N (N),6,N,Y,0.7619,1.0000,3,O, 
17,13,N (N),6,N,Y,0.7599,0.9166,3,O, 
18,13,N (N),6,N,Y,0.3555,0.7894,2,O, 
19,12,N (N),6,N,Y,0.6349,0.8333,3,O, 
20,12,N (N),6,N,Y,0.5317,1.0000,3,X, 
21,12,N (N),6,N,Y,0.3037,1.0000,2,X, 
22,12,N (N),6,N,Y,0.2814,1.0000,2,X, 
23,10,N (N),6,Y,Y,0.9126,0.8333,4,X, 
24,10,N (N),6,N,Y,0.8015,1.0000,4,X, 
25,10,N (N),6,N,Y,0.6740,1.0000,3,X, 
26,10,N (N),5,N,Y,0.6370,0.7894,3,X, 
27,8,N (N),6,N,Y,0.3015,1.0000,2,X, 
28,8,N (N),6,N,Y,0.2658,0.9166,2,X, 
29,5,N (N),6,N,Y,0.7185,0.7894,3,X, 
30,4,N (N),6,N,Y,0.8809,1.0000,4,X, 
31,3,N (N),6,Y,Y,0.8968,1.0000,4,X, 
32,1,N (N),6,Y,Y,0.9333,0.9473,4,X, 
33,1,N (N),6,Y,Y,0.9285,0.8333,4,X, 
34,1,N (N),6,N,Y,0.6388,1.0000,3,X, 
35,1,N (N),6,N,Y,0.4407,1.0000,2,X, 
