순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,30,N (N),2,N,Y,0.5952,0.1666,4,O,* 
1,30,N (N),2,N,Y,0.5952,0.1666,4,O,* 
2,18,N (N),5,N,Y,0.8666,0.7894,4,O, 
3,14,N (N),6,N,Y,0.5000,0.8750,3,O, 
4,10,N (N),6,Y,Y,1.0000,1.0000,4,O, 
5,10,N (N),6,N,Y,0.5370,0.8684,3,O, 
6,10,N (N),4,N,Y,0.8444,0.9736,4,O, 
7,9,N (N),6,N,Y,0.7539,1.0000,4,O, 
8,9,N (N),6,N,Y,0.6507,0.8333,3,O, 
9,8,N (N),6,N,Y,0.8174,1.0000,4,O, 
10,7,N (N),6,N,Y,0.6746,0.6666,3,O, 
11,6,N (N),6,N,Y,0.6296,0.9473,3,O, 
12,6,N (N),6,N,Y,0.5000,0.8881,3,O, 
13,6,N (N),6,N,Y,0.3095,1.0000,2,O, 
14,5,N (N),6,N,Y,0.9424,1.0000,4,O, 
15,5,N (N),6,N,Y,0.8095,0.8888,4,O, 
16,5,N (N),6,N,Y,0.5952,1.0000,3,O, 
17,5,N (N),6,N,Y,0.4888,0.8157,3,O, 
18,5,N (N),5,Y,Y,0.7936,0.8333,4,O, 
19,4,N (N),6,Y,Y,0.8888,1.0000,4,O, 
20,4,N (N),6,N,Y,0.6287,0.8684,3,O, 
21,4,N (N),6,N,Y,0.5185,0.9736,3,O, 
22,3,N (N),6,Y,Y,0.8444,1.0000,4,O, 
23,3,N (N),6,N,Y,0.5851,1.0000,3,O, 
24,2,N (N),6,N,Y,0.8148,1.0000,4,O, 
25,2,N (N),6,N,Y,0.7962,0.8333,4,O, 
26,2,N (N),6,N,Y,0.7407,0.7894,4,O, 
27,2,N (N),6,N,Y,0.6111,1.0000,3,O, 
28,2,N (N),6,N,Y,0.2666,0.8421,2,O, 
29,1,N (N),6,Y,Y,0.9555,1.0000,4,O, 
30,1,N (N),6,N,Y,0.9037,0.3611,4,O, 
31,1,N (N),6,N,Y,0.5753,1.0000,3,O, 
32,1,N (N),6,N,Y,0.5595,1.0000,3,O, 
33,1,N (N),6,N,Y,0.5198,0.8611,3,O, 
34,1,N (N),6,N,Y,0.4761,0.6666,3,O, 
35,1,N (N),6,N,Y,0.2420,1.0000,2,O, 
