순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.7629,0.9473,4,O, 
1,36,N (N),6,N,Y,0.7629,0.9473,4,O, 
2,36,N (N),2,N,Y,0.5000,0.8750,3,O, 
3,31,N (N),6,N,Y,0.5851,0.7894,3,O, 
4,30,N (N),5,N,Y,1.0000,1.0000,4,O, 
5,25,Y (Y),6,N,Y,0.8296,0.8333,4,O, 
6,25,N (N),3,Y,Y,0.9285,1.0000,4,O, 
7,23,Y (Y),6,N,Y,0.5444,1.0000,3,O, 
8,22,Y (Y),6,N,Y,0.6706,1.0000,3,O, 
9,21,Y (Y),6,N,Y,0.8148,1.0000,4,O, 
10,21,N (N),6,N,Y,0.3481,0.7894,2,O, 
11,20,N (N),6,N,Y,0.4814,0.8947,3,O, 
12,18,Y (Y),6,N,Y,0.8074,0.8333,4,O, 
13,18,Y (Y),6,N,Y,0.7851,0.8333,4,O, 
14,18,Y (Y),6,N,Y,0.7539,1.0000,4,O, 
15,18,Y (Y),5,N,Y,0.8592,0.7894,4,O, 
16,18,Y (Y),3,N,Y,0.9333,0.3888,4,O, 
17,16,Y (Y),6,N,Y,0.7777,0.8611,4,O, 
18,16,Y (Y),6,N,Y,0.5481,1.0000,3,O, 
19,16,Y (Y),6,N,Y,0.4166,1.0000,2,O, 
20,16,N (N),6,N,Y,0.7857,0.8333,4,O, 
21,16,N (N),6,N,Y,0.3809,1.0000,2,O, 
22,15,Y (Y),6,N,Y,1.0000,1.0000,4,O, 
23,15,Y (Y),5,N,Y,0.9259,0.6666,4,O, 
24,15,N (N),6,Y,Y,0.9703,0.1578,4,O, 
25,15,N (N),6,N,Y,0.6031,0.8333,3,O, 
26,15,N (N),5,N,Y,0.6666,0.8611,3,O, 
27,14,Y (Y),6,Y,Y,0.9841,1.0000,4,O, 
28,14,N (N),6,N,Y,0.8650,1.0000,4,O, 
29,14,N (N),6,N,Y,0.7857,0.9444,4,O, 
30,14,N (N),6,N,Y,0.5555,0.9166,3,O, 
31,13,Y (Y),6,N,Y,0.8333,0.8333,4,X, 
32,13,Y (Y),6,N,Y,0.5407,0.8333,3,X, 
33,13,N (N),6,N,Y,0.7063,1.0000,3,X, 
34,12,N (N),6,N,Y,0.7698,0.6666,4,X, 
35,12,N (N),6,N,Y,0.7539,0.8333,4,X, 
36,12,N (N),6,N,Y,0.6111,1.0000,3,X, 
37,11,Y (Y),6,N,Y,0.8710,1.0000,4,X, 
38,10,Y (Y),6,N,Y,0.6746,1.0000,3,X, 
39,10,Y (Y),5,N,Y,0.6507,0.8333,3,X, 
40,10,N (N),6,N,Y,0.5238,0.9166,3,X, 
41,10,N (N),6,N,Y,0.4642,0.6666,3,X, 
42,9,N (N),6,N,Y,0.4814,0.6315,4,X, 
43,5,N (N),6,N,Y,0.4841,0.6666,3,X, 
44,2,N (N),6,N,Y,0.5000,0.8750,3,X, 
