순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,Y,Y,0.9047,0.8333,4,O, 
1,36,N (N),6,Y,Y,0.9047,0.8333,4,O, 
2,36,N (N),6,Y,Y,0.9037,0.7894,4,O, 
3,36,N (N),6,N,Y,0.8222,0.9473,4,O, 
4,36,N (N),6,N,Y,0.7407,0.8421,4,O, 
5,36,N (N),6,N,Y,0.6962,0.9473,4,O, 
6,36,N (N),6,N,Y,0.6507,1.0000,3,O, 
7,36,N (N),6,N,Y,0.6349,1.0000,3,O, 
8,36,N (N),6,N,Y,0.5436,1.0000,3,O, 
9,36,N (N),6,N,Y,0.5000,0.8750,3,O, 
10,36,N (N),6,N,Y,0.3629,0.6315,2,O, 
11,36,N (N),4,N,Y,0.7555,0.9736,4,O, 
12,35,N (N),6,N,Y,0.6428,1.0000,3,O, 
13,34,N (N),6,N,Y,0.3492,1.0000,2,O, 
14,33,N (N),6,Y,Y,0.9407,0.7894,4,O, 
15,33,N (N),6,N,Y,0.3174,1.0000,2,O, 
16,33,N (N),6,N,Y,0.3015,1.0000,2,O, 
17,32,N (N),6,N,Y,0.4444,1.0000,2,O, 
18,31,N (N),6,N,Y,0.8253,0.8333,4,O, 
19,31,N (N),6,N,Y,0.3095,0.9444,2,O, 
20,30,N (N),6,N,Y,0.8214,1.0000,4,O, 
21,30,N (N),6,N,Y,0.7333,0.7894,4,O, 
22,30,N (N),5,N,Y,0.8481,0.9473,4,O, 
23,29,N (N),6,N,Y,0.6507,1.0000,3,O, 
24,28,N (N),6,Y,Y,1.0000,0.7894,4,O, 
25,28,N (N),6,N,Y,0.7817,1.0000,4,O, 
26,28,N (N),3,Y,Y,1.0000,1.0000,4,O, 
27,27,N (N),6,N,Y,0.4722,1.0000,2,O, 
28,27,N (N),6,N,Y,0.4325,0.8611,2,O, 
29,27,N (N),5,N,Y,0.8730,0.8333,4,O, 
30,26,N (N),6,N,Y,0.8222,0.7894,4,O, 
31,26,N (N),6,N,Y,0.7460,1.0000,3,O, 
32,26,N (N),6,N,Y,0.6904,0.8611,3,O, 
33,26,N (N),6,N,Y,0.6825,1.0000,3,O, 
34,26,N (N),6,N,Y,0.6349,1.0000,3,O, 
35,25,N (N),6,N,Y,0.6349,1.0000,3,X, 
36,25,N (N),6,N,Y,0.6349,1.0000,3,X, 
37,24,N (N),6,N,Y,0.9444,1.0000,4,X, 
38,24,N (N),4,Y,Y,0.9259,0.9473,4,X, 
39,21,N (N),5,N,Y,0.7629,1.0000,3,X, 
40,20,N (N),6,N,Y,0.5634,1.0000,3,X, 
41,20,N (N),6,N,Y,0.4206,0.7500,2,X, 
42,20,N (N),6,N,Y,0.2500,0.8881,2,X, 
43,19,N (N),6,Y,Y,0.9285,1.0000,4,X, 
44,19,N (N),6,N,Y,0.5952,1.0000,3,X, 
45,19,N (N),6,N,Y,0.2698,1.0000,2,X, 
46,18,N (N),6,N,Y,0.7619,0.8611,4,X, 
47,17,N (N),6,N,Y,0.3111,1.0000,2,X, 
48,15,N (N),6,N,Y,0.8412,0.6666,4,X, 
49,15,N (N),6,N,Y,0.6825,1.0000,3,X, 
50,15,N (N),6,N,Y,0.3253,1.0000,2,X, 
51,13,N (N),6,Y,Y,0.8666,0.8421,4,X, 
52,13,N (N),6,N,Y,0.8809,1.0000,4,X, 
53,12,N (N),6,N,Y,0.9285,1.0000,4,X, 
54,12,N (N),6,N,Y,0.6507,1.0000,3,X, 
55,12,N (N),6,N,Y,0.3492,1.0000,2,X, 
56,11,N (N),6,N,Y,0.7460,1.0000,3,X, 
57,11,N (N),6,N,Y,0.4325,0.8611,2,X, 
58,10,N (N),6,N,Y,0.9444,1.0000,4,X, 
59,10,N (N),6,N,Y,0.6190,0.8611,3,X, 
60,10,N (N),6,N,Y,0.3253,1.0000,2,X, 
61,10,N (N),6,N,Y,0.3174,1.0000,2,X, 
62,10,N (N),5,N,Y,0.7500,0.9375,4,X, 
63,10,N (N),5,N,Y,0.5000,0.8750,3,X, 
64,9,N (N),6,N,Y,0.3412,1.0000,2,X, 
65,7,N (N),6,N,Y,0.7539,1.0000,3,X, 
66,6,N (N),6,N,Y,0.5119,0.8055,3,X, 
67,6,N (N),6,N,Y,0.2518,0.8947,2,X, 
68,5,N (N),6,N,Y,0.6190,1.0000,3,X, 
69,4,N (N),6,N,Y,0.3968,1.0000,2,X, 
70,2,N (N),6,N,Y,0.7936,0.8333,4,X, 
71,2,N (N),6,N,Y,0.6587,1.0000,3,X, 
72,2,N (N),6,N,Y,0.5962,0.6842,3,X, 
73,2,N (N),6,N,Y,0.3492,1.0000,2,X, 
74,1,N (N),6,N,Y,0.7539,1.0000,3,X, 
75,1,N (N),6,N,Y,0.5793,1.0000,3,X, 
76,1,N (N),6,N,Y,0.5277,1.0000,2,X, 
77,1,N (N),6,N,Y,0.3253,1.0000,2,X, 
78,1,N (N),6,N,Y,0.3253,1.0000,2,X, 
