순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,Y,Y,1.0000,0.1666,4,O, 
1,36,N (N),6,Y,Y,1.0000,0.1666,4,O, 
2,36,N (N),6,Y,Y,0.9925,0.5263,4,O, 
3,36,N (N),6,Y,Y,0.9603,1.0000,4,O, 
4,36,N (N),6,Y,Y,0.9259,0.9473,4,O, 
5,36,N (N),6,Y,Y,0.9111,0.8421,4,O, 
6,36,N (N),6,N,Y,0.8650,1.0000,4,O, 
7,36,N (N),6,N,Y,0.8611,1.0000,4,O, 
8,36,N (N),6,N,Y,0.8444,0.6315,4,O, 
9,36,N (N),6,N,Y,0.8222,0.9473,4,O, 
10,36,N (N),6,N,Y,0.8148,1.0000,4,O, 
11,36,N (N),6,N,Y,0.8095,0.8611,4,O, 
12,36,N (N),6,N,Y,0.7407,0.7894,4,O, 
13,36,N (N),6,N,Y,0.7142,0.8333,3,O, 
14,36,N (N),6,N,Y,0.6814,0.8947,3,O, 
15,36,N (N),6,N,Y,0.6666,1.0000,3,O, 
16,36,N (N),6,N,Y,0.6296,0.7368,3,O, 
17,36,N (N),6,N,Y,0.6222,0.9473,3,O, 
18,36,N (N),6,N,Y,0.5592,0.9736,3,O, 
19,36,N (N),6,N,Y,0.5476,1.0000,3,O, 
20,36,N (N),6,N,Y,0.5407,1.0000,3,O, 
21,36,N (N),6,N,Y,0.5074,0.8157,3,O, 
22,36,N (N),6,N,Y,0.4777,0.8684,3,O, 
23,36,N (N),5,Y,Y,0.9444,0.7222,4,O, 
24,36,N (N),5,Y,Y,0.9047,1.0000,4,O, 
25,36,N (N),5,N,Y,0.5000,0.8750,3,O, 
26,36,N (N),4,Y,Y,0.9325,0.3333,4,O, 
27,36,N (N),4,Y,Y,0.9047,0.5000,4,O, 
28,36,N (N),4,N,Y,0.3407,0.8684,2,O, 
29,36,N (N),3,Y,Y,1.0000,1.0000,4,O, 
30,36,N (N),3,Y,Y,0.9500,0.9473,4,O, 
31,36,N (N),3,Y,Y,0.9285,0.7777,4,O, 
32,36,N (N),1,Y,Y,0.9928,1.0000,4,O, 
33,36,N (N),1,Y,Y,0.9777,0.3157,4,O, 
34,36,N (N),1,N,Y,0.5000,0.8750,3,O, 
35,35,N (N),6,N,Y,0.6000,0.9736,3,O, 
