순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.6814,1.0000,3,O, 
1,36,N (N),6,N,Y,0.6814,1.0000,3,O, 
2,36,N (N),6,N,Y,0.4722,0.9166,2,O, 
3,36,N (N),6,N,Y,0.4407,1.0000,2,O, 
4,36,N (N),6,N,Y,0.3174,1.0000,2,O, 
5,36,N (N),6,N,Y,0.2740,1.0000,2,O, 
6,36,N (N),6,N,N,0.6111,1.0000,3,O, 
7,36,N (N),5,N,Y,0.8592,0.9473,4,O, 
8,36,N (N),1,N,Y,0.5000,0.8750,3,O, 
9,34,N (N),6,N,Y,0.6000,0.6842,3,O, 
10,33,N (N),6,N,Y,0.3253,1.0000,2,O, 
11,32,N (N),6,N,N,0.5481,1.0000,3,O, 
12,30,N (N),6,N,Y,0.8492,1.0000,4,O, 
13,30,N (N),6,N,Y,0.4841,1.0000,3,O, 
14,29,N (N),6,N,Y,0.5851,0.6578,3,O, 
15,29,N (N),6,N,Y,0.3253,1.0000,2,O, 
16,28,N (N),6,N,Y,0.6428,0.8333,3,O, 
17,27,N (N),6,N,Y,0.7619,0.8333,4,O, 
18,27,N (N),6,N,Y,0.7420,1.0000,3,O, 
19,26,N (N),6,N,Y,0.8148,0.9736,4,O, 
20,25,N (N),6,N,Y,0.7333,0.8421,3,O, 
21,24,N (N),6,N,Y,0.4740,0.7631,3,O, 
22,23,N (N),6,N,Y,0.8174,1.0000,4,O, 
23,23,N (N),6,N,Y,0.6746,1.0000,3,O, 
24,22,N (N),6,N,Y,0.7301,0.6666,3,O, 
25,22,N (N),6,N,N,0.8148,0.9473,4,O, 
26,22,N (N),6,N,N,0.5000,0.9736,3,O, 
27,21,N (N),6,N,Y,0.8571,1.0000,4,O, 
28,21,N (N),6,N,Y,0.7111,0.8421,3,O, 
29,21,N (N),6,N,Y,0.6428,1.0000,3,O, 
30,21,N (N),6,N,Y,0.6000,0.9736,3,O, 
31,21,N (N),6,N,N,0.6071,1.0000,3,O, 
32,20,N (N),6,N,Y,0.8444,1.0000,4,O, 
33,20,N (N),6,N,Y,0.5793,1.0000,3,X, 
34,20,N (N),6,N,Y,0.4851,0.8157,3,X, 
35,20,N (N),6,N,Y,0.4703,0.9736,3,X, 
36,20,N (N),5,N,Y,0.8148,1.0000,4,X, 
37,19,N (N),6,N,Y,0.7703,0.9473,4,X, 
38,17,N (N),6,N,Y,0.6269,1.0000,3,X, 
39,17,N (N),6,N,Y,0.5873,1.0000,3,X, 
40,17,N (N),6,N,Y,0.5740,0.9736,3,X, 
41,16,N (N),6,Y,Y,0.8666,0.7894,4,X, 
42,16,N (N),6,N,Y,0.8444,0.5000,4,X, 
43,16,N (N),6,N,Y,0.4814,1.0000,3,X, 
44,15,N (N),6,Y,Y,0.8666,0.8421,4,X, 
45,15,N (N),6,N,Y,0.8571,1.0000,4,X, 
46,15,N (N),6,N,Y,0.5992,1.0000,3,X, 
47,15,N (N),6,N,Y,0.5629,1.0000,3,X, 
48,15,N (N),6,N,Y,0.4126,0.8333,2,X, 
49,14,N (N),6,N,Y,0.7037,0.7894,4,X, 
50,14,N (N),6,N,Y,0.5444,1.0000,3,X, 
51,13,N (N),6,Y,Y,0.8968,1.0000,4,X, 
52,12,N (N),6,Y,Y,0.8571,1.0000,4,X, 
53,12,N (N),6,N,Y,0.8296,0.9473,4,X, 
54,12,N (N),6,N,Y,0.3492,1.0000,2,X, 
55,11,N (N),6,N,Y,0.6190,1.0000,3,X, 
56,9,N (N),6,Y,Y,0.9703,1.0000,4,X, 
57,9,N (N),6,N,N,0.8174,1.0000,4,X, 
58,7,N (N),6,N,Y,0.5674,1.0000,3,X, 
59,1,N (N),6,Y,Y,1.0000,1.0000,4,X, 
60,1,N (N),6,N,Y,0.7539,0.8333,4,X, 
61,1,N (N),6,N,Y,0.5793,1.0000,3,X, 
