순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.5428,0.9736,3,O, 
1,36,N (N),6,N,Y,0.5428,0.9736,3,O, 
2,35,N (N),6,N,Y,0.7925,0.8333,4,O, 
3,30,N (N),6,N,Y,0.7333,0.9736,4,O, 
4,30,N (N),6,N,Y,0.6222,1.0000,3,O, 
5,28,N (N),6,N,Y,0.8592,1.0000,4,O, 
6,28,N (N),4,N,Y,0.6740,1.0000,3,O, 
7,27,N (N),6,N,Y,0.2539,0.7777,2,O, 
8,26,N (N),6,N,Y,0.3554,0.9473,2,O, 
9,25,N (N),6,N,Y,0.6000,1.0000,3,O, 
10,25,N (N),6,N,Y,0.5925,0.9473,3,O, 
11,23,N (N),6,Y,Y,0.9111,0.8333,4,O, 
12,20,N (N),6,N,Y,0.7333,1.0000,3,O, 
13,18,N (N),6,N,Y,0.7222,1.0000,3,O, 
14,18,N (N),5,N,Y,0.5222,0.6842,3,O, 
15,16,N (N),6,N,Y,0.8174,1.0000,4,O, 
16,15,N (N),6,N,Y,0.7555,0.7894,4,O, 
17,15,N (N),6,N,Y,0.5555,1.0000,3,O, 
18,12,N (N),6,N,Y,0.7777,0.5000,4,O, 
19,8,N (N),5,N,Y,0.7714,0.9473,4,O, 
20,7,N (N),6,Y,Y,0.9047,1.0000,4,O, 
21,7,N (N),6,Y,Y,0.7936,1.0000,4,O, 
22,7,N (N),6,N,Y,0.8296,1.0000,4,O, 
23,6,N (N),6,N,Y,0.3253,1.0000,2,O, 
24,5,N (N),6,N,Y,0.5436,1.0000,3,O, 
25,3,N (N),6,N,Y,0.8650,1.0000,4,O, 
26,2,N (N),6,N,Y,0.9444,0.8333,4,O, 
27,2,N (N),6,N,Y,0.8968,1.0000,4,O, 
28,2,N (N),6,N,Y,0.5158,1.0000,2,O, 
29,1,N (N),6,N,Y,0.9333,1.0000,4,O, 
30,1,N (N),6,N,Y,0.8253,0.8333,4,O, 
31,1,N (N),6,N,Y,0.7481,0.6578,4,O, 
32,1,N (N),6,N,Y,0.7380,1.0000,3,X, 
33,1,N (N),6,N,Y,0.7142,1.0000,4,X, 
