순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,32,N (N),6,N,Y,0.2592,0.6842,2,O, 
1,32,N (N),6,N,Y,0.2592,0.6842,2,O, 
2,27,N (N),6,N,Y,0.5357,0.9736,3,O, 
3,24,N (N),6,N,Y,0.2936,1.0000,2,O, 
4,17,N (N),6,N,Y,0.3253,1.0000,2,O, 
5,13,N (N),6,N,Y,0.3111,1.0000,2,O, 
6,11,N (N),6,N,Y,0.2936,1.0000,2,O, 
7,10,N (N),6,N,Y,0.7071,0.9473,3,O, 
8,10,N (N),6,N,Y,0.2936,0.9444,2,O, 
9,8,Y (Y),6,N,Y,0.2592,0.8421,2,O, 
10,7,Y (Y),6,N,Y,0.4592,0.8157,3,O, 
11,7,Y (Y),6,N,Y,0.3074,0.9736,2,O, 
12,6,N (N),6,N,Y,0.8253,0.9473,4,O, 
13,5,Y (Y),6,N,Y,0.2925,1.0000,2,O, 
14,3,Y (Y),6,N,Y,0.2518,0.9736,2,O, 
15,2,N (N),6,N,Y,0.8095,1.0000,4,O, 
16,2,N (N),6,N,Y,0.5317,0.8611,3,O, 
17,2,N (N),6,N,Y,0.2698,0.9444,2,O, 
18,1,N (N),6,N,Y,0.3492,1.0000,2,X, 
