순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.3809,1.0000,2,O, 
1,36,N (N),6,N,Y,0.3809,1.0000,2,O, 
2,30,N (N),6,N,Y,0.5250,1.0000,3,O, 
3,20,N (N),6,N,Y,0.2814,0.9473,2,O, 
4,12,N (N),6,Y,N,0.9603,0.6666,4,X, 
5,10,N (N),6,N,Y,0.2460,0.7222,2,X, 
6,10,N (N),6,N,N,0.4801,1.0000,2,X, 
7,5,N (N),6,N,Y,0.4404,0.8611,2,X, 
8,1,N (N),6,Y,N,0.9444,0.8333,4,X, 
9,1,N (N),6,Y,N,0.9285,1.0000,4,X, 
10,1,N (N),6,N,Y,0.8253,1.0000,4,X, 
11,1,N (N),6,N,Y,0.6706,0.8333,3,X, 
12,1,N (N),6,N,N,0.7301,0.8611,3,X, 
13,1,N (N),6,N,N,0.6444,0.9210,3,X, 
