순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,Y,Y,0.8928,1.0000,4,O, 
1,36,N (N),6,Y,Y,0.8928,1.0000,4,O, 
2,36,N (N),6,N,Y,0.3785,0.7894,2,O, 
3,36,N (N),6,N,N,0.6746,0.8611,3,O, 
4,32,N (N),6,N,Y,0.5783,0.9473,3,O, 
5,29,N (N),6,Y,Y,0.8642,0.9473,4,O, 
6,17,N (N),6,N,Y,0.6814,0.9473,4,O, 
7,11,N (N),5,N,Y,0.7857,0.6666,4,O, 
8,10,N (N),6,N,N,0.6746,1.0000,4,O, 
9,10,N (N),5,Y,Y,0.8500,0.8947,4,O, 
10,10,N (N),5,N,Y,0.5111,0.8157,3,O, 
11,6,N (N),5,Y,N,0.8666,0.8421,4,O, 
12,5,N (N),6,N,Y,0.7658,0.9166,4,O, 
13,4,N (N),6,N,N,0.8785,1.0000,4,X, 
14,3,N (N),6,N,N,0.5793,0.9444,3,X, 
15,2,N (N),6,Y,Y,0.8785,0.7894,4,X, 
16,2,N (N),6,Y,N,0.8148,1.0000,4,X, 
17,2,N (N),6,N,N,0.5873,1.0000,3,X, 
18,2,N (N),6,N,N,0.5476,1.0000,3,X, 
19,1,N (N),6,N,Y,0.4888,0.8684,3,X, 
20,1,N (N),6,N,N,0.4682,0.8055,3,X, 
