순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.6468,0.8684,3,O, 
1,36,N (N),6,N,Y,0.6468,0.8684,3,O, 
2,36,N (N),6,N,N,0.8074,0.5789,4,O, 
3,36,N (N),5,N,N,0.5515,1.0000,3,O, 
4,36,N (N),4,N,Y,0.3015,0.9473,2,O, 
5,32,N (N),6,N,Y,0.7658,0.8421,4,X, 
6,32,N (N),6,N,Y,0.6388,0.7894,3,X, 
7,32,N (N),5,N,Y,0.5555,0.7631,3,X, 
8,30,N (N),4,Y,N,0.9925,1.0000,4,X, 
9,7,N (N),6,N,Y,0.4325,1.0000,2,X, 
10,6,N (N),6,N,Y,0.2857,1.0000,2,X, 
11,5,N (N),5,N,Y,0.3253,0.8947,2,X, 
