순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,18,N (N),3,Y,Y,0.9404,0.9444,4,O, 
1,18,N (N),3,Y,Y,0.9404,0.9444,4,O, 
2,1,N (N),6,N,Y,0.9523,1.0000,4,O, 
3,1,N (N),6,N,Y,0.9096,1.0000,5,O, 
4,1,N (N),6,N,Y,0.9047,1.0000,4,O, 
5,1,N (N),6,N,Y,0.8809,1.0000,4,O, 
6,1,N (N),6,N,Y,0.7777,1.0000,4,O, 
7,1,N (N),5,N,Y,0.8750,0.6666,4,O, 
8,1,N (N),5,N,Y,0.8015,0.7777,4,O, 
9,1,N (N),5,N,Y,0.7964,1.0000,4,O, 
10,1,N (N),4,N,Y,0.9407,0.6842,4,O, 
11,1,N (N),4,N,Y,0.8428,1.0000,4,O, 
12,1,N (N),3,Y,Y,0.9603,0.6666,4,O, 
