순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.6507,1.0000,3,O, 
1,36,N (N),6,N,Y,0.6507,1.0000,3,O, 
2,36,N (N),5,N,Y,0.8592,0.8947,4,O, 
3,35,N (N),3,Y,Y,1.0000,0.3157,4,O, 
4,31,N (N),6,N,Y,0.5851,1.0000,3,O, 
5,30,N (N),6,N,Y,0.5952,1.0000,3,O, 
6,30,N (N),6,N,Y,0.5357,1.0000,3,O, 
7,24,N (N),6,N,Y,0.6190,1.0000,3,O, 
8,20,N (N),5,N,Y,0.5952,0.9722,3,O, 
9,17,N (N),6,N,Y,0.5674,1.0000,3,O, 
10,17,N (N),6,N,Y,0.5436,1.0000,3,O, 
11,15,N (N),6,N,Y,0.8444,1.0000,4,O, 
12,15,N (N),4,Y,Y,1.0000,0.9473,4,O, 
13,13,N (N),6,N,Y,0.8174,0.9444,4,O, 
14,11,N (N),6,N,Y,0.7936,0.8888,4,O, 
15,10,N (N),6,N,Y,1.0000,0.9444,4,O, 
16,10,N (N),6,N,Y,0.8444,0.7894,4,O, 
17,10,N (N),6,N,Y,0.5777,0.9736,3,O, 
18,10,N (N),6,N,Y,0.4814,0.9210,3,O, 
19,7,N (N),4,N,Y,0.8518,1.0000,4,O, 
20,6,N (N),6,N,Y,0.8492,1.0000,4,O, 
21,5,N (N),6,N,Y,1.0000,1.0000,4,O, 
22,5,N (N),6,N,Y,0.8214,0.8888,4,O, 
23,5,N (N),6,N,Y,0.7896,1.0000,4,O, 
24,4,N (N),6,Y,Y,0.9629,0.8947,4,O, 
25,3,N (N),6,N,Y,1.0000,0.9444,4,O, 
26,3,N (N),6,N,Y,0.9087,1.0000,4,O, 
27,3,N (N),6,N,Y,0.8212,1.0000,4,O, 
28,2,N (N),5,N,Y,0.6190,1.0000,3,O, 
29,1,N (N),6,Y,Y,1.0000,1.0000,4,O, 
30,1,N (N),6,Y,Y,0.9777,0.7894,4,O, 
31,1,N (N),6,N,Y,0.8412,1.0000,4,O, 
32,1,N (N),6,N,Y,0.6962,1.0000,3,O, 
33,1,N (N),6,N,Y,0.5793,0.9722,3,O, 
34,1,N (N),6,N,Y,0.4888,0.8684,3,O, 
