순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,28,N (N),5,N,Y,0.6184,0.6250,2,O, 
1,28,N (N),5,N,Y,0.6184,0.6250,2,O, 
2,12,N (N),6,N,Y,0.5921,0.7500,2,O, 
3,8,N (N),6,N,Y,0.5394,0.8333,2,O, 
4,6,N (N),6,N,Y,0.6973,1.0000,2,O, 
5,6,N (N),6,N,Y,0.5921,0.9583,2,O, 
6,6,N (N),6,N,Y,0.5921,0.9583,2,O, 
7,6,N (N),5,N,Y,0.6578,0.8750,2,O, 
8,5,N (N),6,N,Y,0.6973,1.0000,2,O, 
9,5,N (N),6,N,Y,0.6315,0.9583,2,O, 
10,5,N (N),6,N,Y,0.6184,1.0000,2,O, 
11,5,N (N),6,N,Y,0.5789,0.8750,2,O, 
12,4,N (N),6,N,Y,0.6973,1.0000,2,O, 
13,4,N (N),6,N,Y,0.6578,1.0000,2,O, 
14,4,N (N),6,N,Y,0.6578,0.9166,2,O, 
15,3,N (N),6,N,Y,0.6578,1.0000,2,O, 
16,3,N (N),6,N,Y,0.6184,0.9166,2,O, 
17,3,N (N),5,N,Y,0.6578,1.0000,2,O, 
18,3,N (N),5,N,Y,0.6315,0.9583,2,O, 
19,3,N (N),5,N,Y,0.6052,0.9791,2,O, 
20,2,N (N),6,N,Y,0.6578,1.0000,2,O, 
21,2,N (N),6,N,Y,0.6184,1.0000,2,O, 
22,2,N (N),6,N,Y,0.5921,0.9583,2,O, 
23,2,N (N),6,N,Y,0.5789,0.8750,2,O, 
24,2,N (N),6,N,Y,0.5789,0.8750,2,O, 
25,2,N (N),6,N,Y,0.5657,0.7916,2,O, 
26,2,N (N),6,N,Y,0.4605,0.5208,2,O, 
27,2,N (N),5,N,Y,0.6578,0.8750,2,O, 
28,2,N (N),5,N,Y,0.6315,0.9583,2,O, 
29,2,N (N),5,N,Y,0.5789,0.8750,2,O, 
30,1,N (N),6,N,Y,0.8947,0.8333,2,O, 
31,1,N (N),6,N,Y,0.6973,1.0000,2,X, 
32,1,N (N),6,N,Y,0.6578,1.0000,2,X, 
33,1,N (N),6,N,Y,0.6315,1.0000,2,X, 
34,1,N (N),6,N,Y,0.6315,0.9583,2,X, 
35,1,N (N),6,N,Y,0.6184,0.9166,2,X, 
36,1,N (N),6,N,Y,0.6052,0.9583,2,X, 
37,1,N (N),6,N,Y,0.5921,0.8750,2,X, 
38,1,N (N),6,N,Y,0.5789,1.0000,2,X, 
39,1,N (N),6,N,Y,0.5131,0.8125,2,X, 
40,1,N (N),5,N,Y,0.6184,0.9583,2,X, 
41,1,N (N),5,N,Y,0.5394,0.6250,2,X, 
