순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.9126,0.9761,4,O, 
1,36,N (N),6,N,Y,0.9126,0.9761,4,O, 
2,36,N (N),6,N,Y,0.7936,0.7142,4,O, 
3,36,N (N),6,N,Y,0.7857,0.7142,4,O, 
4,36,N (N),6,N,Y,0.5793,0.7857,3,O, 
5,36,N (N),6,N,Y,0.5476,0.8809,3,O, 
6,36,N (N),6,N,Y,0.5158,0.6190,3,O, 
7,36,N (N),6,N,Y,0.5000,0.7500,3,O, 
8,36,N (N),6,N,Y,0.3809,1.0000,2,O, 
9,36,N (N),6,N,Y,0.2936,1.0000,2,O, 
10,36,N (N),5,N,Y,0.8412,0.8333,4,O, 
11,36,N (N),5,N,Y,0.8333,1.0000,4,O, 
12,36,N (N),5,N,Y,0.8015,1.0000,4,O, 
13,36,N (N),5,N,Y,0.5317,0.6904,3,O, 
14,35,N (N),2,N,Y,0.5357,0.6428,3,O, 
15,33,N (N),5,N,Y,0.7619,0.6428,4,O, 
16,32,N (N),6,N,Y,0.9801,1.0000,4,O, 
17,32,N (N),6,N,Y,0.5198,0.7857,3,O, 
18,32,N (N),6,N,Y,0.5000,0.7500,3,O, 
19,31,N (N),6,N,Y,0.8730,0.8333,4,O, 
20,31,N (N),6,N,Y,0.5476,0.7857,3,O, 
21,31,N (N),6,N,Y,0.5277,0.7857,3,O, 
22,30,N (N),6,N,Y,1.0000,0.8333,4,O, 
23,30,N (N),6,N,Y,0.9285,0.9761,4,O, 
24,30,N (N),6,N,Y,0.7896,0.8333,4,O, 
25,30,N (N),6,N,Y,0.5000,0.7500,3,O, 
26,29,N (N),6,N,Y,0.9126,1.0000,4,O, 
27,28,N (N),5,N,Y,0.9920,0.8095,4,O, 
28,20,N (N),6,N,Y,0.9047,0.9761,4,O, 
29,20,N (N),6,N,Y,0.5555,0.7857,3,O, 
30,13,N (N),6,N,Y,0.5317,1.0000,3,O, 
31,11,N (N),6,N,Y,0.9206,1.0000,4,O, 
32,10,N (N),6,N,Y,0.5952,0.7857,3,O, 
33,1,N (N),6,N,Y,0.8849,0.9761,4,O, 
34,1,N (N),6,N,Y,0.5000,0.7500,3,O, 
35,1,N (N),5,N,Y,1.0000,0.7142,4,O, 
