순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,23,N (N),6,N,Y,1.0000,1.0000,4,O, 
1,23,N (N),6,N,Y,1.0000,1.0000,4,O, 
2,11,N (N),6,N,Y,0.9444,1.0000,4,O, 
3,10,N (N),6,N,Y,0.8412,1.0000,4,O, 
4,9,N (N),6,N,Y,0.7857,1.0000,4,O, 
5,8,N (N),6,Y,Y,0.8809,1.0000,4,O, 
6,8,N (N),6,N,Y,0.7460,1.0000,3,O, 
7,7,N (N),5,Y,Y,0.9047,1.0000,4,O, 
8,5,N (N),6,N,Y,0.8392,1.0000,4,O, 
9,3,N (N),6,N,Y,0.6507,0.8333,3,O, 
10,3,N (N),6,N,Y,0.5634,1.0000,3,O, 
11,2,N (N),6,N,Y,0.8888,0.8333,4,O, 
12,2,N (N),6,N,Y,0.5555,1.0000,3,O, 
13,2,N (N),6,N,Y,0.5000,0.8881,3,O, 
14,1,N (N),6,Y,Y,0.8809,0.8333,4,O, 
15,1,N (N),6,Y,Y,0.8571,0.8333,4,O, 
16,1,N (N),6,N,Y,1.0000,0.1666,4,O, 
17,1,N (N),6,N,Y,0.8730,0.8333,4,O, 
18,1,N (N),6,N,Y,0.8412,1.0000,4,O, 
19,1,N (N),6,N,Y,0.8333,0.9444,4,O, 
20,1,N (N),6,N,Y,0.8015,0.8333,4,O, 
21,1,N (N),6,N,Y,0.7629,0.9473,4,O, 
22,1,N (N),6,N,Y,0.6825,1.0000,3,O, 
23,1,N (N),6,N,Y,0.6150,1.0000,3,O, 
24,1,N (N),6,N,Y,0.6031,1.0000,3,O, 
25,1,N (N),6,N,Y,0.5555,1.0000,3,O, 
26,1,N (N),6,N,Y,0.4325,1.0000,2,O, 
27,1,N (N),6,N,Y,0.3518,0.7105,2,O, 
28,1,N (N),5,N,Y,0.8296,0.9473,4,O, 
