순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,23,N (N),4,N,Y,0.5000,0.8750,3,O, 
1,23,N (N),4,N,Y,0.5000,0.8750,3,O, 
2,20,N (N),4,N,Y,0.7500,0.8750,4,O, 
3,18,N (N),4,N,Y,0.7500,0.8750,4,O, 
4,17,N (N),5,N,Y,0.7500,0.8750,4,O, 
5,17,N (N),4,N,Y,0.7500,0.8750,4,O, 
6,15,N (N),6,N,Y,0.7500,0.8750,4,O, 
7,15,N (N),5,N,Y,0.5000,0.8750,3,O, 
8,13,N (N),5,N,Y,0.7500,0.9722,4,O, 
9,12,N (N),6,N,Y,0.5000,0.8750,3,O, 
10,12,N (N),5,N,Y,0.5000,0.8750,3,O, 
11,12,N (N),5,N,Y,0.2500,0.8750,2,O, 
12,12,N (N),4,N,Y,0.7500,1.0000,4,O, 
13,10,N (N),6,N,Y,0.5000,0.9722,3,O, 
14,10,N (N),6,N,Y,0.5000,0.8750,3,O, 
15,6,N (N),6,N,Y,0.2500,0.8750,2,O, 
16,1,N (N),6,N,Y,0.5000,0.8750,3,O, 
17,1,N (N),6,N,Y,0.5000,0.8750,3,O, 
18,1,N (N),5,N,Y,0.5000,0.9722,3,O, 
