순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),5,N,Y,0.8428,0.6315,4,O, 
1,36,N (N),5,N,Y,0.8428,0.6315,4,O, 
2,36,N (N),1,Y,Y,1.0000,0.8421,4,O, 
3,34,N (N),6,N,Y,0.7380,1.0000,4,O, 
4,32,N (N),6,N,Y,0.4337,0.8958,4,O, 
5,21,N (N),6,Y,Y,0.8928,0.7894,4,O, 
6,20,N (N),6,N,Y,0.7259,0.6315,4,O, 
7,14,N (N),6,N,Y,0.8214,0.9473,4,O, 
8,13,N (N),6,Y,Y,0.9214,1.0000,4,O, 
9,13,N (N),6,N,Y,0.6626,1.0000,3,O, 
10,13,N (N),5,N,Y,0.7142,0.9166,3,O, 
11,12,N (N),6,N,Y,0.3857,0.9736,2,O, 
12,11,N (N),6,N,Y,0.8321,0.8421,4,O, 
13,11,N (N),6,N,Y,0.5277,1.0000,2,O, 
14,11,N (N),5,N,Y,0.8000,0.6842,4,O, 
15,10,N (N),6,Y,Y,0.9444,0.9166,4,O, 
16,10,N (N),6,N,Y,0.4801,0.8611,2,O, 
17,10,N (N),6,N,Y,0.3888,0.9210,2,O, 
18,10,N (N),6,N,Y,0.2142,0.8611,2,O, 
19,8,N (N),6,N,Y,0.3962,0.8157,3,O, 
20,6,N (N),6,N,Y,0.4642,1.0000,2,O, 
21,6,N (N),6,N,Y,0.4523,1.0000,2,O, 
22,6,N (N),6,N,Y,0.3928,0.6944,2,O, 
23,5,N (N),6,Y,Y,0.9047,0.6666,4,O, 
24,5,N (N),6,N,Y,0.6984,1.0000,3,O, 
25,5,N (N),6,N,Y,0.4801,1.0000,2,O, 
26,5,N (N),5,Y,Y,0.9071,1.0000,4,O, 
27,4,N (N),6,Y,Y,0.9142,0.9473,4,O, 
28,4,N (N),6,N,Y,0.4801,1.0000,2,O, 
29,4,N (N),6,N,Y,0.3851,0.8157,2,O, 
30,4,N (N),6,N,Y,0.3571,1.0000,2,O, 
31,3,N (N),6,N,Y,0.8730,0.9166,3,O, 
32,3,N (N),6,N,Y,0.8015,1.0000,4,O, 
33,3,N (N),6,N,Y,0.5714,1.0000,3,O, 
34,3,N (N),6,N,Y,0.5674,1.0000,2,O, 
35,3,N (N),6,N,Y,0.4642,1.0000,2,O, 
36,3,N (N),6,N,Y,0.4563,1.0000,2,O, 
37,3,N (N),6,N,Y,0.4563,1.0000,2,O, 
38,3,N (N),6,N,Y,0.4111,1.0000,2,O, 
39,3,N (N),6,N,Y,0.1666,0.6578,2,O, 
40,2,N (N),6,N,Y,0.8373,0.8333,4,O, 
41,2,N (N),6,N,Y,0.8174,0.8888,4,O, 
42,2,N (N),6,N,Y,0.7857,1.0000,4,O, 
43,2,N (N),6,N,Y,0.6507,0.8888,3,O, 
44,2,N (N),6,N,Y,0.6111,1.0000,3,O, 
45,2,N (N),6,N,Y,0.5952,1.0000,3,O, 
46,2,N (N),6,N,Y,0.5396,1.0000,3,O, 
47,2,N (N),6,N,Y,0.5158,0.8333,3,O, 
48,2,N (N),6,N,Y,0.5000,1.0000,2,O, 
49,2,N (N),6,N,Y,0.4925,1.0000,2,O, 
50,2,N (N),6,N,Y,0.4880,0.9722,2,O, 
51,2,N (N),6,N,Y,0.4801,1.0000,2,O, 
52,2,N (N),6,N,Y,0.4761,1.0000,2,O, 
53,2,N (N),6,N,Y,0.4642,1.0000,2,O, 
54,2,N (N),6,N,Y,0.4325,0.9166,2,O, 
55,2,N (N),6,N,Y,0.4206,0.9444,2,O, 
56,2,N (N),6,N,Y,0.4035,0.8157,2,O, 
57,2,N (N),6,N,Y,0.3928,1.0000,2,O, 
58,2,N (N),6,N,Y,0.3821,0.9210,2,O, 
59,2,N (N),6,N,Y,0.3296,0.7105,2,O, 
60,2,N (N),6,N,Y,0.2777,1.0000,2,O, 
61,1,N (N),6,Y,Y,0.9523,0.8333,4,O, 
62,1,N (N),6,Y,Y,0.9365,0.8055,4,O, 
63,1,N (N),6,Y,Y,0.9285,0.8333,4,O, 
64,1,N (N),6,Y,Y,0.9071,0.9473,4,O, 
65,1,N (N),6,N,Y,0.9206,0.7708,3,O, 
66,1,N (N),6,N,Y,0.8730,1.0000,4,O, 
67,1,N (N),6,N,Y,0.8370,1.0000,4,O, 
68,1,N (N),6,N,Y,0.7063,1.0000,3,O, 
69,1,N (N),6,N,Y,0.6587,0.9166,3,O, 
70,1,N (N),6,N,Y,0.6468,1.0000,3,O, 
71,1,N (N),6,N,Y,0.6111,1.0000,3,O, 
72,1,N (N),6,N,Y,0.6031,1.0000,3,O, 
73,1,N (N),6,N,Y,0.5714,0.7894,4,O, 
74,1,N (N),6,N,Y,0.5148,0.2105,3,O, 
75,1,N (N),6,N,Y,0.5119,1.0000,2,O, 
76,1,N (N),6,N,Y,0.4880,1.0000,2,O, 
77,1,N (N),6,N,Y,0.4801,1.0000,2,O, 
78,1,N (N),6,N,Y,0.4761,1.0000,2,O, 
79,1,N (N),6,N,Y,0.4750,1.0000,2,O, 
80,1,N (N),6,N,Y,0.4629,0.9736,2,O, 
81,1,N (N),6,N,Y,0.4563,1.0000,2,O, 
82,1,N (N),6,N,Y,0.4481,0.9210,2,O, 
83,1,N (N),6,N,Y,0.4404,1.0000,2,O, 
84,1,N (N),6,N,Y,0.4404,1.0000,2,O, 
85,1,N (N),6,N,Y,0.4365,1.0000,2,O, 
86,1,N (N),6,N,Y,0.4250,0.9736,2,O, 
87,1,N (N),6,N,Y,0.4166,1.0000,2,O, 
88,1,N (N),6,N,Y,0.4166,0.9166,2,O, 
89,1,N (N),6,N,Y,0.4126,1.0000,2,O, 
90,1,N (N),6,N,Y,0.4107,0.9736,2,O, 
91,1,N (N),6,N,Y,0.4107,0.9736,2,O, 
92,1,N (N),6,N,Y,0.4087,0.8611,2,O, 
93,1,N (N),6,N,Y,0.4037,1.0000,2,O, 
94,1,N (N),6,N,Y,0.3892,1.0000,2,O, 
95,1,N (N),6,N,Y,0.3892,0.8684,2,O, 
96,1,N (N),6,N,Y,0.3892,0.8157,2,O, 
97,1,N (N),6,N,Y,0.3888,0.8157,2,O, 
98,1,N (N),6,N,Y,0.3849,0.8611,2,O, 
99,1,N (N),6,N,Y,0.3214,0.9722,2,O, 
100,1,N (N),6,N,Y,0.3134,1.0000,2,O, 
101,1,N (N),6,N,Y,0.2714,1.0000,2,O, 
102,1,N (N),6,N,Y,0.2658,0.9722,2,O, 
103,1,N (N),5,Y,Y,1.0000,1.0000,4,O, 
